"PC","variable","rho"
"PC1","repair_ECM",0.295526695526695
"PC1","atopy",-0.153501857284543
"PC1","asthma",0.0847696823810165
"PC2","repair_ECM",-0.278499278499278
"PC2","atopy",0.190159017233091
"PC2","asthma",0.0733143198970953
"PC3","repair_ECM",0.171933621933622
"PC3","atopy",0.359698381995124
"PC3","asthma",-0.0183285799742738
"PC4","repair_ECM",0.0954545454545454
"PC4","atopy",-0.208487597207365
"PC4","asthma",-0.215360814697718
"PC5","repair_ECM",0.171500721500721
"PC5","atopy",0.11913576983278
"PC5","asthma",0.142046494800622
"PC6","repair_ECM",-0.463997113997114
"PC6","atopy",-0.194741162226659
"PC6","asthma",0.050403594929253
"PC7","repair_ECM",-0.124603174603175
"PC7","atopy",0.453632354363277
"PC7","asthma",0.114553624839211
"PC8","repair_ECM",0.0853535353535353
"PC8","atopy",0.13517327731027
"PC8","asthma",-0.190159017233091
"PC9","repair_ECM",0.0729437229437229
"PC9","atopy",0.0343660874517634
"PC9","asthma",-0.219942959691286
"PC10","repair_ECM",0.0567099567099567
"PC10","atopy",-0.144337567297406
"PC10","asthma",0.245144757155913
