method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
VST_locked__locked_final_VST__cohort_z__euclidean	VST_locked	cohort_z	locked_final_VST	euclidean	28	20	7	18	27	4	FALSE	10
historical_rawcount_fixed32__locked_final_VST__cohort_z__euclidean	historical_rawcount_fixed32	cohort_z	locked_final_VST	euclidean	28	20	7	18	27	4	FALSE	10
log2CPM_T2_fixed_IFN__locked_final_VST__cohort_z__euclidean	log2CPM_T2_fixed_IFN	cohort_z	locked_final_VST	euclidean	26	22	7	18	27	4	FALSE	14
log2CPM_T2_fixed_IFN__locked_final_VST__cohort_z__manhattan	log2CPM_T2_fixed_IFN	cohort_z	locked_final_VST	manhattan	24	23	8	15	30	4	FALSE	14
VST_locked__locked_final_VST__cohort_z__manhattan	VST_locked	cohort_z	locked_final_VST	manhattan	23	24	8	16	29	4	FALSE	16
historical_rawcount_existing_repair__locked_final_VST__cohort_z__manhattan	historical_rawcount_existing_repair	cohort_z	locked_final_VST	manhattan	23	24	8	16	29	4	FALSE	16
historical_rawcount_fixed32__locked_final_VST__cohort_z__manhattan	historical_rawcount_fixed32	cohort_z	locked_final_VST	manhattan	23	24	8	16	29	4	FALSE	16
log2CPM_recomputed__locked_final_VST__cohort_z__euclidean	log2CPM_recomputed	cohort_z	locked_final_VST	euclidean	25	24	6	17	27	5	FALSE	16
log2CPM_recomputed__locked_final_VST__cohort_z__manhattan	log2CPM_recomputed	cohort_z	locked_final_VST	manhattan	23	25	7	15	30	4	FALSE	16
historical_rawcount_existing_repair__locked_final_VST__cohort_z__euclidean	historical_rawcount_existing_repair	cohort_z	locked_final_VST	euclidean	25	23	7	20	25	4	FALSE	20
VST_locked__historical_rawcount__cohort_z__euclidean	VST_locked	cohort_z	historical_rawcount	euclidean	21	27	7	17	28	4	FALSE	22
VST_locked__historical_rawcount__cohort_z__manhattan	VST_locked	cohort_z	historical_rawcount	manhattan	21	26	8	17	28	4	FALSE	22
historical_rawcount_existing_repair__historical_rawcount__cohort_z__euclidean	historical_rawcount_existing_repair	cohort_z	historical_rawcount	euclidean	21	26	8	17	28	4	FALSE	22
historical_rawcount_existing_repair__historical_rawcount__cohort_z__manhattan	historical_rawcount_existing_repair	cohort_z	historical_rawcount	manhattan	21	26	8	17	28	4	FALSE	22
