score_source	centroid_source	scaling	distance	sample_id	tissue	projected_state	method_id
VST_locked	locked_final_VST	none	euclidean	AF001	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF003	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF005	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF007	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF009	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF011	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF013	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF015	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF017	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF019	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF021	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF023	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF025	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF027	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF029	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF031	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF033	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF035	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF037	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF039	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF041	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF043	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF045	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF047	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF049	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF051	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF053	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF055	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF057	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF059	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF061	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF063	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF065	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF067	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF069	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF071	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF073	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF075	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF077	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF078	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF080	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF082	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF084	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF085	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF087	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF089	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF091	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF092	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF097	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF098	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF099	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF101	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF103	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF104	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF106	nasal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF002	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF004	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF006	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF008	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF010	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF012	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF014	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF016	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF018	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF020	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF022	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF024	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF026	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF028	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF030	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF032	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF034	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF036	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF040	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF042	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF044	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF046	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF048	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF050	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF052	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF054	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF056	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF058	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF060	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF062	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF064	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF066	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF068	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF070	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF072	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF074	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF076	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF079	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF083	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF086	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF088	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF090	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF094	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF096	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF100	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF102	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF105	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF107	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	euclidean	AF108	tracheal	E3	VST_locked__locked_final_VST__none__euclidean
VST_locked	locked_final_VST	none	manhattan	AF001	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF003	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF005	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF007	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF009	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF011	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF013	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF015	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF017	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF019	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF021	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF023	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF025	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF027	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF029	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF031	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF033	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF035	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF037	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF039	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF041	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF043	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF045	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF047	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF049	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF051	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF053	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF055	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF057	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF059	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF061	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF063	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF065	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF067	nasal	E3	VST_locked__locked_final_VST__none__manhattan
VST_locked	locked_final_VST	none	manhattan	AF069	nasal	E3	VST_locked__locked_final_VST__none__manhattan
