feature	role
gene	identifier
locked32_reference	development_label
in_top100_near_solution_union	excluded_direct_leakage
AA_mean	eligible
HN_mean	eligible
AA_minus_HN	eligible
logFC	eligible
P	excluded_primary_preference
FDR	excluded_primary_preference
mean_expression	eligible
expression_variance	eligible
GO_ECM	eligible
GO_collagen_fibril	eligible
GO_wound_healing	eligible
GO_cell_adhesion	eligible
family_collagen	eligible
family_integrin	eligible
family_laminin	eligible
family_MMP	eligible
family_matricellular	eligible
annotation_count	eligible
mean_signed_correlation_to_selected_cluster	eligible
median_signed_correlation_to_selected_cluster	eligible
mean_absolute_correlation_to_selected_cluster	eligible
median_absolute_correlation_to_selected_cluster	eligible
signed_degree_030	eligible
signed_degree_040	eligible
signed_degree_050	eligible
signed_degree_060	eligible
absolute_degree_030	eligible
absolute_degree_040	eligible
absolute_degree_050	eligible
absolute_degree_060	eligible
cluster_id	eligible
cluster_mean_effect	eligible
cluster_ECM_density	eligible
cluster_coherence	eligible
frequency_in_top100_near_solutions	excluded_direct_leakage
frequency_as_extra	excluded_direct_leakage
frequency_as_missing	excluded_direct_leakage
aa_positive_all_seed_n	eligible
aa_positive_all_signed_mean	eligible
aa_positive_all_signed_median	eligible
aa_positive_all_signed_max	eligible
aa_positive_all_signed_degree_030	eligible
aa_positive_all_signed_degree_040	eligible
aa_positive_all_signed_degree_050	eligible
aa_positive_all_signed_degree_060	eligible
aa_positive_all_absolute_mean	eligible
aa_positive_all_absolute_median	eligible
aa_positive_all_absolute_max	eligible
aa_positive_all_absolute_degree_030	eligible
aa_positive_all_absolute_degree_040	eligible
aa_positive_all_absolute_degree_050	eligible
aa_positive_all_absolute_degree_060	eligible
aa_positive_family_seed_n	eligible
aa_positive_family_signed_mean	eligible
aa_positive_family_signed_median	eligible
aa_positive_family_signed_max	eligible
aa_positive_family_signed_degree_030	eligible
aa_positive_family_signed_degree_040	eligible
aa_positive_family_signed_degree_050	eligible
aa_positive_family_signed_degree_060	eligible
aa_positive_family_absolute_mean	eligible
aa_positive_family_absolute_median	eligible
aa_positive_family_absolute_max	eligible
aa_positive_family_absolute_degree_030	eligible
aa_positive_family_absolute_degree_040	eligible
aa_positive_family_absolute_degree_050	eligible
aa_positive_family_absolute_degree_060	eligible
aa_positive_go_ecm_seed_n	eligible
aa_positive_go_ecm_signed_mean	eligible
aa_positive_go_ecm_signed_median	eligible
aa_positive_go_ecm_signed_max	eligible
aa_positive_go_ecm_signed_degree_030	eligible
aa_positive_go_ecm_signed_degree_040	eligible
aa_positive_go_ecm_signed_degree_050	eligible
aa_positive_go_ecm_signed_degree_060	eligible
aa_positive_go_ecm_absolute_mean	eligible
aa_positive_go_ecm_absolute_median	eligible
aa_positive_go_ecm_absolute_max	eligible
aa_positive_go_ecm_absolute_degree_030	eligible
aa_positive_go_ecm_absolute_degree_040	eligible
aa_positive_go_ecm_absolute_degree_050	eligible
aa_positive_go_ecm_absolute_degree_060	eligible
aa_positive_go_collagen_seed_n	eligible
aa_positive_go_collagen_signed_mean	eligible
aa_positive_go_collagen_signed_median	eligible
aa_positive_go_collagen_signed_max	eligible
aa_positive_go_collagen_signed_degree_030	eligible
aa_positive_go_collagen_signed_degree_040	eligible
aa_positive_go_collagen_signed_degree_050	eligible
aa_positive_go_collagen_signed_degree_060	eligible
aa_positive_go_collagen_absolute_mean	eligible
aa_positive_go_collagen_absolute_median	eligible
