search_id	feature_set	max_depth	min_samples_leaf	criterion	class_weights	exact_match	TP	FP	FN	TN	final_n	overlap_n	false_negative_n	false_positive_n	false_negatives	false_positives	tree_depth	number_of_leaves	number_of_conditions	number_of_clauses	positive_path_conditions	unique_features_used
TREE025	EXCLUDE_P_FDR	5	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE037	EXCLUDE_P_FDR	6	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE049	EXCLUDE_P_FDR	7	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE061	EXCLUDE_P_FDR	8	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE073	EXCLUDE_P_FDR	9	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE085	EXCLUDE_P_FDR	10	1	gini	none	TRUE	32	0	0	83	32	32	0	0			5	15	14	8	32	11
TREE039	EXCLUDE_P_FDR	6	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE051	EXCLUDE_P_FDR	7	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE063	EXCLUDE_P_FDR	8	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE075	EXCLUDE_P_FDR	9	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE087	EXCLUDE_P_FDR	10	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			6	15	14	7	30	12
TREE076	EXCLUDE_P_FDR	9	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			9	14	13	5	28	13
TREE088	EXCLUDE_P_FDR	10	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			9	14	13	5	28	13
TREE086	EXCLUDE_P_FDR	10	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			10	17	16	5	32	14
TREE123	WITH_P_FDR	5	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE135	WITH_P_FDR	6	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE147	WITH_P_FDR	7	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE159	WITH_P_FDR	8	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE171	WITH_P_FDR	9	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE183	WITH_P_FDR	10	1	entropy	none	TRUE	32	0	0	83	32	32	0	0			5	13	12	6	25	10
TREE160	WITH_P_FDR	8	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE172	WITH_P_FDR	9	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE184	WITH_P_FDR	10	1	entropy	balanced	TRUE	32	0	0	83	32	32	0	0			8	14	13	6	32	10
TREE145	WITH_P_FDR	7	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE157	WITH_P_FDR	8	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE169	WITH_P_FDR	9	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE181	WITH_P_FDR	10	1	gini	none	TRUE	32	0	0	83	32	32	0	0			7	16	15	7	32	12
TREE170	WITH_P_FDR	9	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			9	17	16	7	41	12
TREE182	WITH_P_FDR	10	1	gini	balanced	TRUE	32	0	0	83	32	32	0	0			9	17	16	7	41	12
