	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
A1CF	2.226117781	2.335992784	2.318530057	2.324441624	2.304972491	2.288394738	2.305935286	2.26040357	2.314697338	2.230873331	2.244212245	2.268675063	2.278761942	2.256172807	2.377631121	2.293576842
A2M	3.038356534	3.042646545	2.661372029	2.62230324	3.048232563	2.787492904	2.639523101	2.575773764	2.819096587	2.574581536	3.18365299	4.628829201	2.617122785	2.574582868	2.79126234	2.628116448
A4GALT	3.356372708	3.158564427	3.426259189	3.433306893	3.429420202	3.508589352	3.414001722	3.408213011	3.366266382	3.392631714	3.360527965	3.369220884	3.416700496	4.175844533	3.416379206	3.425255992
A4GNT	1.995376805	2.042336978	2.031267107	2.094987349	2.009958005	2.029101019	2.014149623	2.001813971	2.002883074	1.987621576	1.990715846	2.008358971	2.018167878	2.010831985	2.013171487	2.016359834
AAAS	3.739513057	3.92357091	3.890018204	3.897146217	4.121028027	4.293363478	3.897560761	3.789237044	3.906380562	3.586976972	3.889325466	3.901518798	3.910755751	4.198154539	3.907659739	4.411079677
AACS	4.289602226	4.588734411	3.230216959	3.964769871	4.137296984	4.715777131	3.841755545	5.046050574	4.543018007	4.552943501	5.112580603	4.317712257	4.724885908	5.022779075	4.080373246	4.030666386
AADAC	2.450250179	2.754190339	2.601895273	2.619844191	2.534784211	2.562161873	2.657049018	2.534143732	2.555694801	2.442529627	2.546024475	2.462552957	2.553174413	2.582873553	2.561702559	2.552062721
AAGAB	7.161195734	6.932611651	6.54682197	8.090209054	7.420690049	6.976694931	7.108153275	7.222113735	7.537296984	7.033095688	7.250651127	6.769416608	7.305981816	7.340728543	6.643873879	7.71813527
AAK1	3.568137922	3.019965539	2.920432682	2.989878419	2.913858699	3.031012912	2.920072404	2.952884195	2.643307008	3.203993242	3.302691507	3.467730822	2.842947729	3.166557912	3.102297772	2.921986419
AAMDC	4.676594904	5.970215855	4.809244548	5.45887206	5.469568874	5.96279286	5.707938266	5.364884636	5.475684955	4.737581398	5.268014426	5.252911026	5.813432071	5.81136686	5.383836395	5.720334146
AAMP	4.85740785	3.955826295	4.513490037	4.67870837	4.514069102	5.400146423	4.945960452	4.691063783	4.941965191	5.232770081	5.200956393	4.692608034	5.109205853	5.038549381	4.94537041	4.509277825
AANAT	2.148850355	2.233974624	2.24681807	2.233461762	2.217601542	2.189951314	2.36933354	2.171380369	2.138588668	2.144878213	2.172388273	2.141809065	2.190867156	2.169448024	2.213479254	2.194703824
AAR2	4.070355276	3.620868951	3.597007307	3.284853331	3.856078096	3.725959713	3.758302528	3.518421822	4.139757615	3.950910071	3.537360502	3.366328913	3.56681498	3.824275926	3.672457726	3.335359577
AARS	5.541212645	5.560957523	4.584611889	4.790757887	4.908131971	5.129267582	4.754765071	5.355748308	5.359168482	4.833559506	5.269360709	5.204286455	5.290617712	5.266045515	5.129900543	4.216799912
AASDHPPT	5.543144335	4.699422279	5.225694141	5.765845885	5.407249573	4.347289601	5.06202792	4.732044078	5.623894355	5.564847471	5.584387843	5.723389216	5.074136106	5.537907638	5.029065731	5.16030987
AASS	3.089942244	3.201492926	3.124501424	3.237661512	3.240636288	3.062437395	3.140133975	3.014924995	2.925675039	2.73637855	2.925323086	3.063391701	3.072133395	3.022131585	3.06487436	3.063403552
AATF	4.916898166	3.445735754	4.135868464	3.923377418	4.423786252	4.365748771	3.704152746	4.17314394	4.51233904	4.463956677	4.046616985	4.556891193	3.883980625	4.594280387	3.902765323	3.993792896
AATK	2.99489968	3.290669728	3.174520477	3.084688453	3.20535426	3.086970925	3.099366643	3.014494684	3.102518894	3.039489585	3.044641305	3.642751653	3.051517257	3.11122173	3.0801025	3.111590057
ABAT	7.050963839	8.084549629	5.856099769	7.54012505	9.188016565	6.075117257	8.453705976	7.364661072	7.9482273	5.745921485	7.331798849	6.730323744	7.279954265	7.162426571	7.726423374	6.760552779
ABCA1	5.727490422	4.023939677	4.289394157	3.662282393	3.563050903	3.540240513	3.682253818	3.549113268	3.254992849	6.675766325	3.633157017	4.763109364	3.527089821	3.40388161	3.796553373	3.650754975
ABCA11P	3.022814741	3.581462428	3.214374458	3.43978539	3.29696828	3.149929807	3.227283851	3.091004767	3.062080529	3.008477069	3.081294182	3.03415337	3.114948386	3.056117216	3.130202725	3.282877417
ABCA12	2.69938897	3.103917925	2.96320065	3.038235702	2.875313325	2.785793661	2.870730786	2.676518784	2.697428677	2.675360528	2.731750517	2.694800538	2.772904617	2.713802411	2.858292603	2.923830562
ABCA2	2.423697579	2.482664463	2.492698439	2.480305574	2.473535791	2.822682808	2.484099674	2.532749729	2.431334448	2.407959999	2.645104521	2.475621874	2.489992766	2.47983922	2.50549616	2.610799319
ABCA3	2.464584064	2.683653225	2.627143191	2.658111943	2.535486244	2.546771514	2.598239827	2.50315035	2.472153101	2.451317888	2.537205255	2.472695642	2.55236212	2.545533722	2.546298167	2.543904809
ABCA4	2.112463074	2.362143612	2.171623608	2.154815451	2.127659667	2.167184994	2.130391619	2.124946785	2.122096382	2.110991399	2.110802302	2.125651345	2.139033098	2.170451689	2.133352459	2.162606939
ABCA5	5.288435763	5.443361892	4.874654347	5.2749775	5.055049866	4.797158716	5.574488568	5.446143083	5.662378634	3.634482001	5.397666059	5.610799008	4.573843374	5.488443453	5.259096986	5.293850979
ABCA6	2.741705729	3.167427537	3.101176515	3.172886993	3.117384662	2.811809642	2.858325975	2.779608397	2.677961523	2.724632933	2.76412983	2.667809106	2.79759671	2.745666822	2.932040686	2.882905083
ABCA7	2.896022567	2.820011965	2.805831856	2.867335074	2.776736203	3.963770058	2.891458323	4.102244414	3.111899245	2.806937745	3.902543185	3.33084387	2.892601796	3.959014105	2.971977878	2.792066222
ABCA8	2.534560286	2.945285932	2.802841158	2.883365847	2.792156831	2.638284575	2.783993863	2.594854523	2.541674417	2.522404523	2.584326814	2.538169586	2.633432903	2.557433256	2.65918107	2.733152497
ABCB1	2.352903086	2.895345163	2.657905453	2.544462208	2.445957585	2.396914248	2.478737336	2.385166208	2.358396323	2.348195327	2.37862439	2.40233556	2.414857391	2.396516404	2.42795866	2.47407916
ABCB11	2.553805464	2.995370657	2.801439315	3.191519586	2.686368391	2.675073644	2.855599843	2.652695843	2.562036797	2.5330187	2.611038239	2.559594793	2.670674516	2.574606931	2.681138575	2.83111479
ABCB4	2.303670545	2.451774651	2.416371944	2.435098046	2.398360691	2.362214078	2.396428446	2.345284702	2.338272494	2.297944605	2.323760791	2.342941979	2.363071495	2.334589439	2.362007735	2.37585122
ABCB6	2.82630556	3.225592331	3.396998464	3.530983294	3.249927784	2.903201655	3.151946039	2.857916276	2.758673724	2.680846637	2.839777454	2.830721192	2.892142504	2.856425721	2.957133503	2.969913554
ABCB7	3.121085524	3.393074026	3.337123068	3.520433387	3.507702051	3.531649813	3.451739867	3.189737869	3.18005022	3.041672285	3.165893655	3.032446992	3.438760435	3.174492682	3.238213795	3.205308563
