gate	observed	expected	status
GSE18965_FINAL_N	32	32	PASS
GSE18965_EXACT_MATCH_32	TRUE	TRUE	PASS
GSE118761_total_n	104	104	PASS
GSE118761_nasal_n	55	55	PASS
GSE118761_tracheal_n	49	49	PASS
GSE118761_nasal_projection	21/27/7	21/27/7	PASS
GSE118761_tracheal_projection	21/23/5	21/23/5	PASS
GSE118761_quadrants	12/12/15/16	12/12/15/16	PASS
GSE118761_pooled_OOF_AUC	0.71978021978022	approximately 0.7197802198	PASS
GSE152004_n	695	695	PASS
GSE152004_T2_high_low	348/347	348/347	PASS
GSE152004_E1_E2_E3	338/299/58	338/299/58	PASS
GSE152004_repair_OR	0.542309473212322	approximately 0.542309	PASS
GSE152004_IFN_OR	0.770617570602221	approximately 0.770618	PASS
GSE152004_condition_number	1.43363832706516	manuscript-locked value	PASS
GSE152004_repair_residual_variance	0.889460477326135	manuscript-locked value	PASS
External_ECM	PASS	PASS	PASS
Hospital	CODE_ONLY/PROTECTED_DATA	CODE_ONLY/PROTECTED_DATA	PASS
