source_name	identifier	gene_symbol
ECM_organization	GO:0030198	ABI3BP
ECM_organization	GO:0030198	ABL1
ECM_organization	GO:0030198	ADAM10
ECM_organization	GO:0030198	ADAM15
ECM_organization	GO:0030198	ADAM8
ECM_organization	GO:0030198	ADAMTS1
ECM_organization	GO:0030198	ADAMTS12
ECM_organization	GO:0030198	ADAMTS13
ECM_organization	GO:0030198	ADAMTS2
ECM_organization	GO:0030198	ADAMTS20
ECM_organization	GO:0030198	ADAMTS3
ECM_organization	GO:0030198	ADAMTS5
ECM_organization	GO:0030198	ADAMTS6
ECM_organization	GO:0030198	ADAMTS7
ECM_organization	GO:0030198	ADAMTS8
ECM_organization	GO:0030198	ADAMTS9
ECM_organization	GO:0030198	ADAMTSL2
ECM_organization	GO:0030198	ADAMTSL3
ECM_organization	GO:0030198	ADAMTSL4
ECM_organization	GO:0030198	ADTRP
ECM_organization	GO:0030198	AEBP1
ECM_organization	GO:0030198	AGT
ECM_organization	GO:0030198	ANGPTL7
ECM_organization	GO:0030198	ANTXR1
ECM_organization	GO:0030198	ANXA2
ECM_organization	GO:0030198	APLP1
ECM_organization	GO:0030198	APP
ECM_organization	GO:0030198	ATP7A
ECM_organization	GO:0030198	B4GALT1
ECM_organization	GO:0030198	BMP1
ECM_organization	GO:0030198	BMP2
ECM_organization	GO:0030198	CAV1
ECM_organization	GO:0030198	CAV2
ECM_organization	GO:0030198	CFLAR
ECM_organization	GO:0030198	CLASP1
ECM_organization	GO:0030198	CLASP2
ECM_organization	GO:0030198	CMA1
ECM_organization	GO:0030198	COL10A1
ECM_organization	GO:0030198	COL11A1
ECM_organization	GO:0030198	COL11A2
ECM_organization	GO:0030198	COL13A1
ECM_organization	GO:0030198	COL14A1
ECM_organization	GO:0030198	COL15A1
ECM_organization	GO:0030198	COL16A1
ECM_organization	GO:0030198	COL17A1
ECM_organization	GO:0030198	COL18A1
ECM_organization	GO:0030198	COL19A1
ECM_organization	GO:0030198	COL1A1
ECM_organization	GO:0030198	COL1A2
ECM_organization	GO:0030198	COL2A1
ECM_organization	GO:0030198	COL3A1
ECM_organization	GO:0030198	COL4A1
ECM_organization	GO:0030198	COL4A2
ECM_organization	GO:0030198	COL4A3
ECM_organization	GO:0030198	COL4A4
ECM_organization	GO:0030198	COL4A5
ECM_organization	GO:0030198	COL4A6
ECM_organization	GO:0030198	COL5A1
ECM_organization	GO:0030198	COL5A2
ECM_organization	GO:0030198	COL5A3
ECM_organization	GO:0030198	COL8A1
ECM_organization	GO:0030198	COL8A2
ECM_organization	GO:0030198	COL9A1
ECM_organization	GO:0030198	COL9A2
ECM_organization	GO:0030198	COL9A3
ECM_organization	GO:0030198	COLGALT1
ECM_organization	GO:0030198	COLGALT2
ECM_organization	GO:0030198	COLQ
ECM_organization	GO:0030198	COMP
ECM_organization	GO:0030198	CPB2
ECM_organization	GO:0030198	CREB3L1
ECM_organization	GO:0030198	CRISPLD2
ECM_organization	GO:0030198	CRTAP
ECM_organization	GO:0030198	CST3
ECM_organization	GO:0030198	CTSG
ECM_organization	GO:0030198	CTSK
ECM_organization	GO:0030198	CTSS
ECM_organization	GO:0030198	CTSV
ECM_organization	GO:0030198	CYP1B1
ECM_organization	GO:0030198	DAG1
ECM_organization	GO:0030198	DDR2
ECM_organization	GO:0030198	DMP1
ECM_organization	GO:0030198	DNAJB6
ECM_organization	GO:0030198	DPP4
ECM_organization	GO:0030198	DPT
ECM_organization	GO:0030198	ECM2
ECM_organization	GO:0030198	EFEMP2
ECM_organization	GO:0030198	EGFL6
ECM_organization	GO:0030198	ELANE
ECM_organization	GO:0030198	ELF3
ECM_organization	GO:0030198	ELN
ECM_organization	GO:0030198	EMILIN1
ECM_organization	GO:0030198	ENG
ECM_organization	GO:0030198	ERCC2
ECM_organization	GO:0030198	EXT1
ECM_organization	GO:0030198	FAP
ECM_organization	GO:0030198	FBLN1
ECM_organization	GO:0030198	FBLN2
ECM_organization	GO:0030198	FBLN5
ECM_organization	GO:0030198	FERMT1
ECM_organization	GO:0030198	FGFR4
ECM_organization	GO:0030198	FKBP10
ECM_organization	GO:0030198	FLOT1
ECM_organization	GO:0030198	FMOD
ECM_organization	GO:0030198	FOXC1
ECM_organization	GO:0030198	FOXC2
ECM_organization	GO:0030198	FOXF1
ECM_organization	GO:0030198	FOXF2
ECM_organization	GO:0030198	FSCN1
ECM_organization	GO:0030198	FURIN
ECM_organization	GO:0030198	GAS2
ECM_organization	GO:0030198	GAS6
ECM_organization	GO:0030198	GFAP
ECM_organization	GO:0030198	GFOD2
ECM_organization	GO:0030198	GPM6B
ECM_organization	GO:0030198	GREM1
ECM_organization	GO:0030198	HAPLN2
ECM_organization	GO:0030198	HAS1
ECM_organization	GO:0030198	HAS2
ECM_organization	GO:0030198	HPN
ECM_organization	GO:0030198	HPSE2
ECM_organization	GO:0030198	HSD17B12
ECM_organization	GO:0030198	IBSP
ECM_organization	GO:0030198	IER3IP1
ECM_organization	GO:0030198	IHH
ECM_organization	GO:0030198	IL6
ECM_organization	GO:0030198	IMPG1
ECM_organization	GO:0030198	IMPG2
ECM_organization	GO:0030198	ITGA8
ECM_organization	GO:0030198	ITGB1
ECM_organization	GO:0030198	ITGB3
ECM_organization	GO:0030198	KAZALD1
ECM_organization	GO:0030198	KLK5
ECM_organization	GO:0030198	KLK7
ECM_organization	GO:0030198	LAMA1
ECM_organization	GO:0030198	LAMA2
ECM_organization	GO:0030198	LAMB1
ECM_organization	GO:0030198	LAMB2
ECM_organization	GO:0030198	LAMB3
ECM_organization	GO:0030198	LAMB4
ECM_organization	GO:0030198	LAMC1
ECM_organization	GO:0030198	LCP1
ECM_organization	GO:0030198	LOX
ECM_organization	GO:0030198	LOXL1
ECM_organization	GO:0030198	LOXL2
ECM_organization	GO:0030198	LRP1
ECM_organization	GO:0030198	LTBP3
ECM_organization	GO:0030198	LUM
ECM_organization	GO:0030198	MATN1
ECM_organization	GO:0030198	MATN3
ECM_organization	GO:0030198	MATN4
ECM_organization	GO:0030198	MFAP4
ECM_organization	GO:0030198	MIA
ECM_organization	GO:0030198	MMP1
ECM_organization	GO:0030198	MMP10
ECM_organization	GO:0030198	MMP11
ECM_organization	GO:0030198	MMP12
ECM_organization	GO:0030198	MMP13
ECM_organization	GO:0030198	MMP14
ECM_organization	GO:0030198	MMP15
ECM_organization	GO:0030198	MMP16
ECM_organization	GO:0030198	MMP17
ECM_organization	GO:0030198	MMP19
ECM_organization	GO:0030198	MMP2
ECM_organization	GO:0030198	MMP20
ECM_organization	GO:0030198	MMP24
ECM_organization	GO:0030198	MMP25
ECM_organization	GO:0030198	MMP26
ECM_organization	GO:0030198	MMP27
ECM_organization	GO:0030198	MMP28
ECM_organization	GO:0030198	MMP3
ECM_organization	GO:0030198	MMP7
ECM_organization	GO:0030198	MMP8
ECM_organization	GO:0030198	MMP9
ECM_organization	GO:0030198	MPV17
ECM_organization	GO:0030198	MYF5
ECM_organization	GO:0030198	MYH11
ECM_organization	GO:0030198	MYO1E
ECM_organization	GO:0030198	NDNF
ECM_organization	GO:0030198	NF1
ECM_organization	GO:0030198	NFKB2
ECM_organization	GO:0030198	NID1
ECM_organization	GO:0030198	NID2
ECM_organization	GO:0030198	NOTCH1
ECM_organization	GO:0030198	NOX1
ECM_organization	GO:0030198	NPHS1
ECM_organization	GO:0030198	NR2E1
ECM_organization	GO:0030198	NTNG1
ECM_organization	GO:0030198	OLFML2A
ECM_organization	GO:0030198	OLFML2B
ECM_organization	GO:0030198	P4HA1
ECM_organization	GO:0030198	PBXIP1
ECM_organization	GO:0030198	PDGFRA
ECM_organization	GO:0030198	PDPN
ECM_organization	GO:0030198	PHLDB1
ECM_organization	GO:0030198	PLG
ECM_organization	GO:0030198	PLOD3
ECM_organization	GO:0030198	POMT1
ECM_organization	GO:0030198	POSTN
ECM_organization	GO:0030198	PRDM5
ECM_organization	GO:0030198	PRDX4
ECM_organization	GO:0030198	PRSS2
ECM_organization	GO:0030198	PTX3
ECM_organization	GO:0030198	PXDN
ECM_organization	GO:0030198	QSOX1
ECM_organization	GO:0030198	RAMP2
ECM_organization	GO:0030198	RB1
ECM_organization	GO:0030198	RECK
ECM_organization	GO:0030198	RGCC
ECM_organization	GO:0030198	SERPINB5
ECM_organization	GO:0030198	SERPINF2
ECM_organization	GO:0030198	SERPINH1
ECM_organization	GO:0030198	SLC2A10
ECM_organization	GO:0030198	SLC39A8
ECM_organization	GO:0030198	SMAD3
ECM_organization	GO:0030198	SMPD3
ECM_organization	GO:0030198	SOX9
ECM_organization	GO:0030198	SPINK5
ECM_organization	GO:0030198	SPINT1
ECM_organization	GO:0030198	SPINT2
ECM_organization	GO:0030198	SPOCK2
ECM_organization	GO:0030198	SULF1
ECM_organization	GO:0030198	TCF15
ECM_organization	GO:0030198	TGFB1
ECM_organization	GO:0030198	TGFB2
ECM_organization	GO:0030198	TGFBI
ECM_organization	GO:0030198	TGFBR1
ECM_organization	GO:0030198	THSD4
ECM_organization	GO:0030198	TIE1
ECM_organization	GO:0030198	TLL1
ECM_organization	GO:0030198	TLL2
ECM_organization	GO:0030198	TMEM38B
ECM_organization	GO:0030198	TMPRSS6
ECM_organization	GO:0030198	TNF
ECM_organization	GO:0030198	TNFRSF11B
ECM_organization	GO:0030198	TNFRSF1A
ECM_organization	GO:0030198	TNFRSF1B
ECM_organization	GO:0030198	TNR
ECM_organization	GO:0030198	TNXB
