gene_symbol	category	source	retrieval_date	source_url	operational_note
CCN1	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
CCN2	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
CCN3	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
CCN4	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
CCN5	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
CCN6	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
SPARC	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
SPARCL1	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
THBS1	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
THBS2	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
THBS3	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
THBS4	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
COMP	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Official symbol for thrombospondin-5; predeclared revision-era category; not derived from locked32
TNC	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
TNN	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
TNR	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
TNXB	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
POSTN	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
SPP1	matricellular	CCN/SPARC/thrombospondin/tenascin/periostin operational panel based on matricellular review	2026-09-17	https://doi.org/10.1016/j.matbio.2014.07.005	Predeclared revision-era category; not derived from locked32
