"gene_set","gene_symbol"
"NABA_CORE_MATRISOME","ABI3BP"
"NABA_CORE_MATRISOME","ACAN"
"NABA_CORE_MATRISOME","ADIPOQ"
"NABA_CORE_MATRISOME","AEBP1"
"NABA_CORE_MATRISOME","AGRN"
"NABA_CORE_MATRISOME","AMBN"
"NABA_CORE_MATRISOME","AMELX"
"NABA_CORE_MATRISOME","AMELY"
"NABA_CORE_MATRISOME","ANOS1"
"NABA_CORE_MATRISOME","ASPN"
"NABA_CORE_MATRISOME","BCAN"
"NABA_CORE_MATRISOME","BGLAP"
"NABA_CORE_MATRISOME","BGN"
"NABA_CORE_MATRISOME","BMPER"
"NABA_CORE_MATRISOME","BSPH1"
"NABA_CORE_MATRISOME","CCN1"
"NABA_CORE_MATRISOME","CCN2"
"NABA_CORE_MATRISOME","CCN3"
"NABA_CORE_MATRISOME","CCN4"
"NABA_CORE_MATRISOME","CCN5"
"NABA_CORE_MATRISOME","CCN6"
"NABA_CORE_MATRISOME","CDCP2"
"NABA_CORE_MATRISOME","CHAD"
"NABA_CORE_MATRISOME","CHADL"
"NABA_CORE_MATRISOME","CILP"
"NABA_CORE_MATRISOME","CILP2"
"NABA_CORE_MATRISOME","COCH"
"NABA_CORE_MATRISOME","COL10A1"
"NABA_CORE_MATRISOME","COL11A1"
"NABA_CORE_MATRISOME","COL11A2"
"NABA_CORE_MATRISOME","COL12A1"
"NABA_CORE_MATRISOME","COL13A1"
"NABA_CORE_MATRISOME","COL14A1"
"NABA_CORE_MATRISOME","COL15A1"
"NABA_CORE_MATRISOME","COL16A1"
"NABA_CORE_MATRISOME","COL17A1"
"NABA_CORE_MATRISOME","COL18A1"
"NABA_CORE_MATRISOME","COL19A1"
"NABA_CORE_MATRISOME","COL1A1"
"NABA_CORE_MATRISOME","COL1A2"
"NABA_CORE_MATRISOME","COL20A1"
"NABA_CORE_MATRISOME","COL21A1"
"NABA_CORE_MATRISOME","COL22A1"
"NABA_CORE_MATRISOME","COL23A1"
"NABA_CORE_MATRISOME","COL24A1"
"NABA_CORE_MATRISOME","COL25A1"
"NABA_CORE_MATRISOME","COL26A1"
"NABA_CORE_MATRISOME","COL27A1"
"NABA_CORE_MATRISOME","COL28A1"
"NABA_CORE_MATRISOME","COL2A1"
"NABA_CORE_MATRISOME","COL3A1"
"NABA_CORE_MATRISOME","COL4A1"
"NABA_CORE_MATRISOME","COL4A2"
"NABA_CORE_MATRISOME","COL4A3"
"NABA_CORE_MATRISOME","COL4A4"
"NABA_CORE_MATRISOME","COL4A5"
"NABA_CORE_MATRISOME","COL4A6"
"NABA_CORE_MATRISOME","COL5A1"
"NABA_CORE_MATRISOME","COL5A2"
"NABA_CORE_MATRISOME","COL5A3"
"NABA_CORE_MATRISOME","COL6A1"
"NABA_CORE_MATRISOME","COL6A2"
"NABA_CORE_MATRISOME","COL6A3"
"NABA_CORE_MATRISOME","COL6A5"
"NABA_CORE_MATRISOME","COL6A6"
"NABA_CORE_MATRISOME","COL7A1"
"NABA_CORE_MATRISOME","COL8A1"
"NABA_CORE_MATRISOME","COL8A2"
"NABA_CORE_MATRISOME","COL9A1"
"NABA_CORE_MATRISOME","COL9A2"
"NABA_CORE_MATRISOME","COL9A3"
"NABA_CORE_MATRISOME","COLQ"
"NABA_CORE_MATRISOME","COMP"
"NABA_CORE_MATRISOME","CRELD1"
"NABA_CORE_MATRISOME","CRELD2"
"NABA_CORE_MATRISOME","CRIM1"
"NABA_CORE_MATRISOME","CRISPLD1"
"NABA_CORE_MATRISOME","CRISPLD2"
"NABA_CORE_MATRISOME","CTHRC1"
"NABA_CORE_MATRISOME","DCN"
"NABA_CORE_MATRISOME","DMBT1"
"NABA_CORE_MATRISOME","DMP1"
"NABA_CORE_MATRISOME","DPT"
