analysis_step,script,required_file,publicly_downloadable,generated_by,included_in_repository,reason_if_missing
GSE18965 Series Matrix reproduction,R/01_GSE18965_preprocessing.R,data/public/GSE18965/GSE18965_series_matrix.txt.gz,Yes,GEO GSE18965 download,No,Required public GEO processed Series Matrix is not bundled
GSE18965 Series Matrix reproduction,R/01_GSE18965_preprocessing.R,data/public/GSE18965/GSE18965_family.soft.gz,Yes,GEO GSE18965 download,No,Required public GEO SOFT metadata is not bundled
GSE18965 Series Matrix reproduction,R/01_GSE18965_preprocessing.R,data/public/GSE18965/GPL96-57554.txt,Yes,GEO GPL96 platform download,No,Required GPL96 annotation is not bundled
GSE18965 Series Matrix reproduction,R/01_GSE18965_preprocessing.R,gene_sets/repair_ECM_fixed32.txt,No,Fixed manuscript gene-set manifest,Yes,Included fixed score file
GSE18965 CEL sensitivity comparison,R/01_GSE18965_preprocessing.R,outputs/audit_reruns/GSE18965_formal_rerun/03_expression/GSE18965_GCRMA_probe_expression.csv,No,Prior CEL-GCRMA audit rerun,No,Required intermediate input unavailable for full CEL comparison branch
GSE18965 CEL sensitivity comparison,R/01_GSE18965_preprocessing.R,outputs/audit_reruns/GSE18965_formal_rerun/03_expression/GSE18965_GCRMA_gene_expression.csv,No,Prior CEL-GCRMA audit rerun,No,Required intermediate input unavailable for full CEL comparison branch
GSE18965 CEL sensitivity comparison,R/01_GSE18965_preprocessing.R,outputs/audit_reruns/GSE18965_formal_rerun/04_limma_primary/GSE18965_complete_limma_primary_default_eBayes_results.csv,No,Prior CEL-GCRMA audit rerun,No,Required intermediate input unavailable for full CEL comparison branch
GSE18965 GO and repair audit,R/02_GSE18965_DEG_and_ECM_scores.R,outputs/user_rerun/GSE18965_series_matrix_reproduction/04_limma_primary/series_complete_limma_primary_default_eBayes_results.csv,No,R/01_GSE18965_preprocessing.R,No,Generated intermediate required before GO audit rerun
GSE18965 GO and repair audit,R/02_GSE18965_DEG_and_ECM_scores.R,outputs/user_rerun/GSE18965_series_matrix_reproduction/03_expression/series_gene_level_expression.csv,No,R/01_GSE18965_preprocessing.R,No,Generated intermediate required before GO audit rerun
GSE18965 GO and repair audit,R/02_GSE18965_DEG_and_ECM_scores.R,data/public/GSE18965/GPL96-57554.txt,Yes,GEO GPL96 platform download,No,Required GPL96 annotation is not bundled
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE118761/GSE118761_genecounts.csv.gz,Yes,GEO or deposited supplementary file,No,Required public count matrix is not bundled
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE118761/GSE118761_series_matrix.txt.gz,Yes,GEO GSE118761 download,No,Required public metadata file is not bundled
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE118761/GSE118761_IFN_T2_original32_PCA_cluster_scores.csv,No,Processed score/metadata file from manuscript analysis branch,No,Required intermediate standardized metadata unavailable
RNA-seq preprocessing and metadata matching,R/03_RNAseq_preprocessing.R,data/public/GSE152004/GSE152004_695_raw_counts.txt.gz,Yes,GEO or deposited supplementary file,No,Required public count matrix is not bundled
