"Package","Version","Priority","Built"
"abind","1.4-5",NA,"4.2.0"
"affy","1.76.0",NA,"4.2.1"
"affyio","1.68.0",NA,"4.2.1"
"annotate","1.76.0",NA,"4.2.1"
"AnnotationDbi","1.60.2",NA,"4.2.2"
"ape","5.8-1",NA,"4.2.3"
"aplot","0.3.0",NA,"4.2.3"
"arrangements","1.1.9",NA,"4.2.3"
"arrayhelpers","1.1-0",NA,"4.2.3"
"askpass","1.1",NA,"4.2.3"
"assertthat","0.2.1",NA,"4.2.3"
"backports","1.4.1",NA,"4.2.0"
"base.rms","1.0",NA,"4.2.3"
"base64","2.0.1",NA,"4.2.3"
"base64enc","0.1-3",NA,"4.2.0"
"bayestestR","0.13.1",NA,"4.2.3"
"bdsmatrix","1.3-7",NA,"4.2.3"
"beachmat","2.14.2",NA,"4.2.3"
"BH","1.81.0-1",NA,"4.2.2"
"Biobase","2.58.0",NA,"4.2.1"
"BiocGenerics","0.44.0",NA,"4.2.1"
"BiocManager","1.30.22",NA,"4.2.3"
"BiocParallel","1.32.6",NA,"4.2.2"
"BiocSingular","1.14.0",NA,"4.2.1"
"BiocVersion","3.16.0",NA,"4.2.0"
"Biostrings","2.66.0",NA,"4.2.1"
"bit","4.0.5",NA,"4.2.3"
"bit64","4.0.5",NA,"4.2.3"
"bitops","1.0-7",NA,"4.2.0"
"blob","1.2.4",NA,"4.2.3"
"brew","1.0-10",NA,"4.2.3"
"brio","1.1.5",NA,"4.2.3"
"broom","1.0.4",NA,"4.2.3"
"bslib","0.4.2",NA,"4.2.3"
"BWStest","0.2.3",NA,"4.2.3"
"cachem","1.0.8",NA,"4.2.3"
"callr","3.7.3",NA,"4.2.3"
"car","3.1-2",NA,"4.2.3"
"carData","3.0-5",NA,"4.2.3"
"cellranger","1.1.0",NA,"4.2.3"
"checkmate","2.2.0",NA,"4.2.3"
"cli","3.6.1",NA,"4.2.3"
"clipr","0.8.0",NA,"4.2.3"
"clusterProfiler","4.6.2",NA,"4.2.2"
"coefplot","1.2.8",NA,"4.2.3"
"collapse","1.9.5",NA,"4.2.3"
"colorspace","2.1-0",NA,"4.2.3"
"commonmark","1.9.0",NA,"4.2.3"
"CompQuadForm","1.4.3",NA,"4.2.0"
"conflicted","1.2.0",NA,"4.2.3"
"corpcor","1.6.10",NA,"4.2.0"
"corrgram","1.14",NA,"4.2.3"
"corrplot","0.92",NA,"4.2.3"
"cowplot","1.1.1",NA,"4.2.3"
"cpp11","0.5.5",NA,"4.2.3"
"crayon","1.5.2",NA,"4.2.3"
"credentials","1.3.2",NA,"4.2.3"
"crosstalk","1.2.0",NA,"4.2.3"
"curl","5.0.0",NA,"4.2.3"
"data.table","1.14.8",NA,"4.2.3"
"datasets.load","2.3.0",NA,"4.2.3"
"datawizard","0.7.1",NA,"4.2.3"
"DBI","1.2.2",NA,"4.2.3"
"dbplyr","2.3.2",NA,"4.2.3"
"DelayedArray","0.24.0",NA,"4.2.3"
"DelayedMatrixStats","1.20.0",NA,"4.2.1"
"DEoptimR","1.0-13",NA,"4.2.3"
"desc","1.4.3",NA,"4.2.3"
"DescTools","0.99.48",NA,"4.2.3"
"DESeq2","1.38.3",NA,"4.2.2"
"devtools","2.4.5",NA,"4.2.3"
"diffobj","0.3.5",NA,"4.2.3"
"digest","0.6.31",NA,"4.2.3"
"do","2.0.0.0",NA,"4.2.3"
"doRNG","1.8.6",NA,"4.2.3"
"DOSE","3.24.2",NA,"4.2.2"
"downlit","0.4.3",NA,"4.2.3"
"downloader","0.4.1",NA,"4.2.3"
"dplyr","1.1.2",NA,"4.2.3"
"DT","0.27",NA,"4.2.3"
"dtplyr","1.3.1",NA,"4.2.3"
"dygraphs","1.1.1.6",NA,"4.2.3"
"e1071","1.7-13",NA,"4.2.3"
"edmcr","0.2.0",NA,"4.2.3"
"effectsize","0.8.3",NA,"4.2.3"
"ellipse","0.5.0",NA,"4.2.3"
"ellipsis","0.3.2",NA,"4.2.3"
"emmeans","1.8.5",NA,"4.2.3"
"enrichplot","1.18.4",NA,"4.2.3"
"epiDisplay","3.5.0.2",NA,"4.2.3"
"estimability","1.4.1",NA,"4.2.1"
"evaluate","0.21",NA,"4.2.3"
"Exact","3.2",NA,"4.2.1"
"expm","0.999-7",NA,"4.2.3"
"fansi","1.0.4",NA,"4.2.3"
"farver","2.1.1",NA,"4.2.3"
"fastmap","1.1.1",NA,"4.2.3"
"fastmatch","1.1-8",NA,"4.2.3"
"fgsea","1.24.0",NA,"4.2.1"
"fit.models","0.64",NA,"4.2.3"
"fontawesome","0.5.1",NA,"4.2.3"
"fontBitstreamVera","0.1.1",NA,"4.2.0"
"fontLiberation","0.1.0",NA,"4.2.0"
"fontquiver","0.2.1",NA,"4.2.3"
"forcats","1.0.0",NA,"4.2.3"
"foreach","1.5.2",NA,"4.2.3"
"foreign","0.8-86","recommended","4.2.3"
"formatR","1.14",NA,"4.2.3"
"Formula","1.2-5",NA,"4.2.2"
"fs","1.6.2",NA,"4.2.3"
"futile.logger","1.4.9",NA,"4.2.3"
"futile.options","1.0.1",NA,"4.2.0"
"gargle","1.4.0",NA,"4.2.3"
"gcrma","2.70.0",NA,"4.2.1"
"gdtools","0.5.1",NA,"4.2.3"
"genefilter","1.80.3",NA,"4.2.2"
"geneplotter","1.76.0",NA,"4.2.1"
"generics","0.1.3",NA,"4.2.3"
"GenomeInfoDb","1.34.9",NA,"4.2.2"
"GenomeInfoDbData","1.2.9",NA,"4.2.3"
"GenomicRanges","1.50.2",NA,"4.2.2"
"gert","1.9.2",NA,"4.2.3"
"GGally","2.1.2",NA,"4.2.3"
"gganimate","1.0.8",NA,"4.2.3"
"ggeffects","1.2.2",NA,"4.2.3"
"ggforce","0.5.0",NA,"4.2.3"
"ggfun","0.2.0",NA,"4.2.3"
"ggiraph","0.9.6",NA,"4.2.3"
"ggm","2.5",NA,"4.2.3"
"ggnewscale","0.5.2",NA,"4.2.3"
"ggplot2","4.0.3",NA,"4.2.3"
"ggplotify","0.1.3",NA,"4.2.3"
"ggpubr","0.6.0",NA,"4.2.3"
"ggraph","2.2.2",NA,"4.2.3"
"ggrepel","0.9.3",NA,"4.2.3"
"ggsci","3.0.0",NA,"4.2.3"
"ggsignif","0.6.4",NA,"4.2.3"
"ggtree","3.6.2",NA,"4.2.2"
"gh","1.4.0",NA,"4.2.3"
"gitcreds","0.1.2",NA,"4.2.3"
"glassoFast","1.0.1",NA,"4.2.3"
"gld","2.6.6",NA,"4.2.3"
"glmnet","4.1-7",NA,"4.2.3"
"glue","1.6.2",NA,"4.2.3"
"gmp","0.7-1",NA,"4.2.3"
"GO.db","3.16.0",NA,"4.2.3"
"googleAuthR","2.0.1",NA,"4.2.3"
"googledrive","2.1.0",NA,"4.2.3"
"googlesheets4","1.1.0",NA,"4.2.3"
"GOSemSim","2.24.0",NA,"4.2.1"
"graph","1.76.0",NA,"4.2.1"
"graphicalExtremes","0.2.0",NA,"4.2.3"
"graphlayouts","1.2.4",NA,"4.2.3"
"gridExtra","2.3",NA,"4.2.3"
"gridGraphics","0.5-1",NA,"4.2.3"
"GSEABase","1.60.0",NA,"4.2.1"
"gson","0.1.0",NA,"4.2.3"
"GSVA","1.46.0",NA,"4.2.1"
"gtable","0.3.6",NA,"4.2.3"
"gvlma","1.0.0.3",NA,"4.2.0"
"haven","2.5.2",NA,"4.2.3"
"HDF5Array","1.26.0",NA,"4.2.1"
"HDO.db","0.99.1",NA,"4.2.3"
"hgu133acdf","2.18.0",NA,"4.2.3"
"hgu133aprobe","2.18.0",NA,"4.2.3"
"highr","0.10",NA,"4.2.3"
"Hmisc","5.0-1",NA,"4.2.3"
"hms","1.1.3",NA,"4.2.3"
"htmlTable","2.4.1",NA,"4.2.3"
"htmltools","0.5.9",NA,"4.2.3"
"htmlwidgets","1.6.4",NA,"4.2.3"
"httpuv","1.6.9",NA,"4.2.3"
"httr","1.4.5",NA,"4.2.3"
"httr2","0.2.2",NA,"4.2.3"
"ids","1.0.1",NA,"4.2.3"
"ieugwasr","0.1.5",NA,"4.2.3"
"igraph","2.3.2",NA,"4.2.3"
"ini","0.3.1",NA,"4.2.3"
"insight","0.19.1",NA,"4.2.3"
"IRanges","2.32.0",NA,"4.2.1"
"irlba","2.3.7",NA,"4.2.3"
"isoband","0.2.7",NA,"4.2.3"
"ISwR","2.0-8",NA,"4.2.3"
"iterators","1.0.14",NA,"4.2.3"
"iterpc","0.4.2",NA,"4.2.3"
"itertools","0.1-3",NA,"4.2.3"
"jquerylib","0.1.4",NA,"4.2.3"
"jsonlite","1.8.4",NA,"4.2.3"
"kableExtra","1.4.0",NA,"4.2.3"
"KEGGREST","1.38.0",NA,"4.2.1"
"knitr","1.42",NA,"4.2.3"
"kSamples","1.2-9",NA,"4.2.3"
"labeling","0.4.3",NA,"4.2.3"
"laeken","0.5.3",NA,"4.2.3"
"lambda.r","1.2.4",NA,"4.2.3"
"later","1.3.1",NA,"4.2.3"
"lazyeval","0.2.2",NA,"4.2.3"
"lbfgs","1.2.1.2",NA,"4.2.3"
"lifecycle","1.0.3",NA,"4.2.3"
"limma","3.54.2",NA,"4.2.2"
"linprog","0.9-4",NA,"4.2.2"
"lme4","1.1-33",NA,"4.2.3"
"lmom","2.9",NA,"4.2.0"
"lmtest","0.9-40",NA,"4.2.3"
"locfit","1.5-9.12",NA,"4.2.3"
"lpSolve","5.6.18",NA,"4.2.2"
"lubridate","1.9.2",NA,"4.2.3"
"magrittr","2.0.3",NA,"4.2.3"
"mathjaxr","1.6-0",NA,"4.2.3"
"MatrixGenerics","1.10.0",NA,"4.2.1"
"MatrixModels","0.5-1",NA,"4.2.3"
"matrixStats","0.63.0",NA,"4.2.3"
"matrixStats_backup_1.5.0_20260704_091037","1.5.0",NA,"4.2.3"
"maxLik","1.5-2",NA,"4.2.0"
"mclust","6.1.2",NA,"4.2.3"
"memoise","2.0.1",NA,"4.2.3"
"MendelianRandomization","0.10.0",NA,"4.2.3"
"meta","6.5-0",NA,"4.2.3"
"metadat","1.2-0",NA,"4.2.3"
"metafor","4.4-0",NA,"4.2.3"
"mime","0.12",NA,"4.2.0"
"miniUI","0.1.1.1",NA,"4.2.3"
"minqa","1.2.5",NA,"4.2.3"
"miscTools","0.6-28",NA,"4.2.3"
"missForest","1.5",NA,"4.2.3"
"mnormt","2.1.1",NA,"4.2.1"
"modelr","0.1.11",NA,"4.2.3"
"mr.raps","0.2",NA,"4.2.0"
"MRMix","0.1.0",NA,"4.2.3"
"MRPRESSO","1.0",NA,"4.2.3"
"multcomp","1.4-23",NA,"4.2.3"
"multcompView","0.1-9",NA,"4.2.3"
"munsell","0.5.1",NA,"4.2.3"
"mvtnorm","1.1-3",NA,"4.2.0"
"nloptr","2.0.3",NA,"4.2.3"
"nnet","7.3-19","recommended","4.2.3"
"nortest","1.0-4",NA,"4.2.0"
"numDeriv","2016.8-1.1",NA,"4.2.0"
"openssl","2.0.6",NA,"4.2.3"
"openxlsx","4.2.5.2",NA,"4.2.3"
