PC,variable,rho,P,n
PC1,T2,-0.0922799422799423,0.5028072902295151,55
PC1,IFN,0.7150793650793653,8.607166680614313e-10,55
PC1,repair_ECM,0.35036075036075043,0.008732389641330725,55
PC1,atopy,-0.19015901723309106,0.16434958966067587,55
PC1,asthma,0.03436608745176344,0.8032948064728774,55
PC1,wheeze,0.03436608745176344,0.8032948064728774,55
PC2,T2,-0.32135642135642145,0.016741467345217843,55
PC2,IFN,0.11226551226551229,0.4144748388115742,55
PC2,repair_ECM,0.19365079365079368,0.15659533302653822,55
PC2,atopy,-0.19015901723309106,0.16434958966067587,55
PC2,asthma,-0.12142684232956416,0.3771738317710598,55
PC2,wheeze,-0.12142684232956416,0.3771738317710598,55
PC3,T2,-0.6085858585858587,8.251339365599948e-07,55
PC3,IFN,0.29336219336219344,0.02972503528012987,55
PC3,repair_ECM,-0.11075036075036078,0.4208416340525803,55
PC3,atopy,-0.4284305568986509,0.001101408184679728,55
PC3,asthma,-0.08706075487780073,0.5273662314154389,55
PC3,wheeze,-0.08706075487780073,0.5273662314154389,55
PC4,T2,0.03203463203463204,0.816399840693082,55
PC4,IFN,-0.48282828282828294,0.00018888066572157993,55
PC4,repair_ECM,0.09220779220779222,0.5031427426217427,55
PC4,atopy,0.22452510468485448,0.09935419563729284,55
PC4,asthma,0.15121078478775912,0.27046041467568366,55
PC4,wheeze,0.15121078478775912,0.27046041467568366,55
PC5,T2,-0.27085137085137095,0.04548860912809333,55
PC5,IFN,-0.01630591630591631,0.9059423618750228,55
PC5,repair_ECM,-0.20786435786435792,0.12779805690949803,55
PC5,atopy,-0.13975542230383797,0.3088429766224537,55
PC5,asthma,-0.10309826235529032,0.4538363459811111,55
PC5,wheeze,-0.10309826235529032,0.4538363459811111,55
PC6,T2,-0.13780663780663785,0.3157044191670662,55
PC6,IFN,-0.021428571428571432,0.8765957514217504,55
PC6,repair_ECM,0.29935064935064937,0.026402675467215263,55
PC6,atopy,-0.04353037743890036,0.7523330786077403,55
PC6,asthma,0.027492869961410753,0.8420695333357442,55
PC6,wheeze,0.027492869961410753,0.8420695333357442,55
PC7,T2,0.48549783549783554,0.00017188113948771993,55
PC7,IFN,0.0010822510822510825,0.993743185721645,55
PC7,repair_ECM,-0.09235209235209238,0.5024719527015395,55
PC7,atopy,0.45134128186649314,0.0005430515901005497,55
PC7,asthma,0.08706075487780073,0.5273662314154389,55
PC7,wheeze,0.08706075487780073,0.5273662314154389,55
PC8,T2,0.14090909090909093,0.30482652395675686,55
PC8,IFN,0.23903318903318907,0.07881951172097523,55
PC8,repair_ECM,0.24841269841269845,0.06743781614537007,55
PC8,atopy,0.057276812419605735,0.6778777460944816,55
PC8,asthma,-0.19703223472344372,0.14934624291540466,55
PC8,wheeze,-0.19703223472344372,0.14934624291540466,55
PC9,T2,0.031746031746031744,0.8180256058609394,55
PC9,IFN,0.22438672438672444,0.09956829716162839,55
PC9,repair_ECM,-0.18095238095238098,0.1861350388080945,55
PC9,atopy,-0.052694667426037275,0.7023993062871828,55
PC9,asthma,0.25430904714304947,0.060982812153023425,55
PC9,wheeze,0.25430904714304947,0.060982812153023425,55
PC10,T2,0.014935064935064937,0.9138185432500388,55
PC10,IFN,-0.008152958152958155,0.9528914815752738,55
PC10,repair_ECM,-0.3692640692640693,0.005529861198656735,55
PC10,atopy,0.04123930494211613,0.7649848401389685,55
PC10,asthma,-0.08935182737458496,0.5165128544287834,55
PC10,wheeze,-0.08935182737458496,0.5165128544287834,55
