"gene_set","gene_symbol"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","A2M"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACAN"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTA1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTA2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTB"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTC1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTG1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTG2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ACTN1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM10"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM12"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM15"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM17"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM19"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM8"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAM9"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS14"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS16"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS18"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS3"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS4"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS5"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS8"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ADAMTS9"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","AGRN"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","APP"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","ASPN"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BCAN"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BGN"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BMP1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BMP10"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BMP2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BMP4"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BMP7"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","BSG"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN10"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN11"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN12"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN13"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN14"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN15"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN3"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN5"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN6"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN7"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN8"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPN9"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPNS1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAPNS2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CASK"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CASP3"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CAST"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CD151"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CD44"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CD47"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CDH1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CEACAM1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CEACAM6"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CEACAM8"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","CMA1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL10A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL11A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL11A2"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL12A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL13A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL14A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL15A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL16A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL17A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL18A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL19A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL1A1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","COL1A2"
