"tissue","score1","score2","pearson_r"
"nasal","T2_z","T2_z",1
"nasal","IFN_z","T2_z",-0.169951454295349
"nasal","repair_ECM_z","T2_z",-0.109495230904689
"nasal","T2_z","IFN_z",-0.169951454295349
"nasal","IFN_z","IFN_z",1
"nasal","repair_ECM_z","IFN_z",0.196695169150186
"nasal","T2_z","repair_ECM_z",-0.109495230904689
"nasal","IFN_z","repair_ECM_z",0.196695169150186
"nasal","repair_ECM_z","repair_ECM_z",1
"tracheal","T2_z","T2_z",1
"tracheal","IFN_z","T2_z",-0.138381425133921
"tracheal","repair_ECM_z","T2_z",0.0647425967467105
"tracheal","T2_z","IFN_z",-0.138381425133921
"tracheal","IFN_z","IFN_z",1
"tracheal","repair_ECM_z","IFN_z",0.0714781644916225
"tracheal","T2_z","repair_ECM_z",0.0647425967467105
"tracheal","IFN_z","repair_ECM_z",0.0714781644916225
"tracheal","repair_ECM_z","repair_ECM_z",1
