PC,variable,rho,P,n
PC1,T2,0.20673469387755097,0.15408967890786182,49
PC1,IFN,-0.6766326530612243,9.449964823036641e-08,49
PC1,repair_ECM,-0.3438775510204082,0.01555084530580033,49
PC1,atopy,0.3151816379216009,0.02739273030533524,49
PC1,asthma,-0.09477582044145476,0.5171371652914398,49
PC1,wheeze,-0.09477582044145476,0.5171371652914398,49
PC2,T2,0.2429591836734694,0.0925458194171126,49
PC2,IFN,0.4457142857142857,0.0013295374615334076,49
PC2,repair_ECM,-0.21051020408163262,0.146541538604067,49
PC2,atopy,0.2168680994873401,0.13445455233645592,49
PC2,asthma,-0.050349654609522836,0.7311718816259472,49
PC2,wheeze,-0.050349654609522836,0.7311718816259472,49
PC3,T2,-0.756734693877551,3.1748808396409386e-10,49
PC3,IFN,0.09326530612244896,0.5238675339588196,49
PC3,repair_ECM,-0.12091836734693878,0.4078852760618543,49
PC3,atopy,-0.2920490406429513,0.041730621774419184,49
PC3,asthma,-0.4116824700425691,0.003293537863665929,49
PC3,wheeze,-0.4116824700425691,0.003293537863665929,49
PC4,T2,-0.11959183673469387,0.41308588015401704,49
PC4,IFN,0.09316326530612244,0.5243237570699691,49
PC4,repair_ECM,-0.20653061224489794,0.1545056799742334,49
PC4,atopy,-0.2862658913232889,0.04614344252585386,49
PC4,asthma,-0.21028385160447777,0.14698620918724944,49
PC4,wheeze,-0.21028385160447777,0.14698620918724944,49
PC5,T2,0.0943877551020408,0.518862114661326,49
PC5,IFN,0.17285714285714282,0.23494002162447938,49
PC5,repair_ECM,-0.5264285714285714,0.00010220573090194879,49
PC5,atopy,-0.3180732125814321,0.025932060175688124,49
PC5,asthma,0.06219663216470469,0.6711658243502924,49
PC5,wheeze,0.06219663216470469,0.6711658243502924,49
PC6,T2,-0.09275510204081633,0.526150617359031,49
PC6,IFN,-0.029693877551020407,0.8394978452496699,49
PC6,repair_ECM,-0.28887755102040813,0.04410571490537469,49
PC6,atopy,0.05783149319662402,0.6930639091649183,49
PC6,asthma,0.20139861843809134,0.16523993141110932,49
PC6,wheeze,0.20139861843809134,0.16523993141110932,49
PC7,T2,0.15632653061224488,0.2834290331957471,49
PC7,IFN,-0.20836734693877548,0.15079128050302937,49
PC7,repair_ECM,-0.07877551020408162,0.590555926366188,49
PC7,atopy,0.29783218996261374,0.03766959606371959,49
PC7,asthma,-0.02073221072156823,0.8875585861097094,49
PC7,wheeze,-0.02073221072156823,0.8875585861097094,49
PC8,T2,-0.16520408163265304,0.2566306789676016,49
PC8,IFN,0.08755102040816326,0.5497154667190259,49
PC8,repair_ECM,-0.026530612244897955,0.8564054184372153,49
PC8,atopy,0.046265194557299216,0.7522567895170692,49
PC8,asthma,-0.14216373066218213,0.3298495396701062,49
PC8,wheeze,-0.14216373066218213,0.3298495396701062,49
PC9,T2,-0.09,0.5385636693804425,49
PC9,IFN,-0.23102040816326527,0.11024694477873397,49
PC9,repair_ECM,-0.16418367346938773,0.2596211938691559,49
PC9,atopy,-0.14457873299156004,0.3216149060880255,49
PC9,asthma,0.2813657169355688,0.05017355444459743,49
PC9,wheeze,0.2813657169355688,0.05017355444459743,49
PC10,T2,0.04224489795918367,0.7731867555763248,49
PC10,IFN,0.07744897959183673,0.596845060682994,49
PC10,repair_ECM,0.07816326530612244,0.5934549368429648,49
PC10,atopy,0.026024171938480813,0.8591184665555608,49
PC10,asthma,-0.04442616583193192,0.7618100513784454,49
PC10,wheeze,-0.04442616583193192,0.7618100513784454,49
