sample_id,group,gene_set,score,panel,filter_definition,total,up,down
GSM469508,HN,fixed32_repair_ECM,-0.594709083689479,2A,,,,
GSM469509,AA,fixed32_repair_ECM,1.41824524318266,2A,,,,
GSM469510,AA,fixed32_repair_ECM,0.947708684150135,2A,,,,
GSM469511,AA,fixed32_repair_ECM,1.25239804611014,2A,,,,
GSM469512,AA,fixed32_repair_ECM,0.466033041664168,2A,,,,
GSM469513,HN,fixed32_repair_ECM,-0.170970068265897,2A,,,,
GSM469514,AA,fixed32_repair_ECM,0.459604278497645,2A,,,,
GSM469515,HN,fixed32_repair_ECM,-0.386879007927286,2A,,,,
GSM469516,HN,fixed32_repair_ECM,-0.658429458183781,2A,,,,
GSM469517,HN,fixed32_repair_ECM,-0.773223546529058,2A,,,,
GSM469518,AA,fixed32_repair_ECM,-0.422517655651003,2A,,,,
GSM469519,HN,fixed32_repair_ECM,-0.588578056966494,2A,,,,
GSM469520,AA,fixed32_repair_ECM,-0.364063712356966,2A,,,,
GSM469521,HN,fixed32_repair_ECM,-0.609974621388833,2A,,,,
GSM469522,AA,fixed32_repair_ECM,-0.105653606918414,2A,,,,
GSM469523,AA,fixed32_repair_ECM,0.131009524272463,2A,,,,
GSM469508,HN,Reactome_ECM,-0.309482963860351,2A,,,,
GSM469509,AA,Reactome_ECM,0.798548933900481,2A,,,,
GSM469510,AA,Reactome_ECM,0.404272303278242,2A,,,,
GSM469511,AA,Reactome_ECM,0.624703745339759,2A,,,,
GSM469512,AA,Reactome_ECM,0.217918566156492,2A,,,,
GSM469513,HN,Reactome_ECM,0.0375156361480378,2A,,,,
GSM469514,AA,Reactome_ECM,0.162448234182922,2A,,,,
GSM469515,HN,Reactome_ECM,-0.259689117801332,2A,,,,
GSM469516,HN,Reactome_ECM,-0.384798071346954,2A,,,,
GSM469517,HN,Reactome_ECM,-0.41335475602203,2A,,,,
GSM469518,AA,Reactome_ECM,-0.286238285887473,2A,,,,
GSM469519,HN,Reactome_ECM,-0.25940636489096,2A,,,,
GSM469520,AA,Reactome_ECM,-0.171657626597712,2A,,,,
GSM469521,HN,Reactome_ECM,-0.117995479394257,2A,,,,
GSM469522,AA,Reactome_ECM,-0.107979495431785,2A,,,,
GSM469523,AA,Reactome_ECM,0.0651947422269183,2A,,,,
GSM469508,HN,Reactome_ECM_excluding_fixed32,-0.283170245214991,2A,,,,
GSM469509,AA,Reactome_ECM_excluding_fixed32,0.726768639691245,2A,,,,
GSM469510,AA,Reactome_ECM_excluding_fixed32,0.337471646176966,2A,,,,
GSM469511,AA,Reactome_ECM_excluding_fixed32,0.565400679040891,2A,,,,
GSM469512,AA,Reactome_ECM_excluding_fixed32,0.189802138593378,2A,,,,
GSM469513,HN,Reactome_ECM_excluding_fixed32,0.0619538044674059,2A,,,,
GSM469514,AA,Reactome_ECM_excluding_fixed32,0.124696580987979,2A,,,,
GSM469515,HN,Reactome_ECM_excluding_fixed32,-0.245755731998413,2A,,,,
GSM469516,HN,Reactome_ECM_excluding_fixed32,-0.356093016394993,2A,,,,
GSM469517,HN,Reactome_ECM_excluding_fixed32,-0.374990972899215,2A,,,,
GSM469518,AA,Reactome_ECM_excluding_fixed32,-0.269115493513343,2A,,,,
GSM469519,HN,Reactome_ECM_excluding_fixed32,-0.222929640545219,2A,,,,
GSM469520,AA,Reactome_ECM_excluding_fixed32,-0.143164568982674,2A,,,,
GSM469521,HN,Reactome_ECM_excluding_fixed32,-0.0631522852183489,2A,,,,
GSM469522,AA,Reactome_ECM_excluding_fixed32,-0.104717964222481,2A,,,,
GSM469523,AA,Reactome_ECM_excluding_fixed32,0.0569964300318104,2A,,,,
GSM469508,HN,NABA_core,-0.584291551263172,2A,,,,
GSM469509,AA,NABA_core,0.96398532827243,2A,,,,
GSM469510,AA,NABA_core,0.538379909577657,2A,,,,
GSM469511,AA,NABA_core,0.747771262939529,2A,,,,
GSM469512,AA,NABA_core,0.327936900247767,2A,,,,
GSM469513,HN,NABA_core,0.206245861053716,2A,,,,
GSM469514,AA,NABA_core,0.308654058058199,2A,,,,
GSM469515,HN,NABA_core,-0.270484951888201,2A,,,,
GSM469516,HN,NABA_core,-0.502890749471548,2A,,,,
GSM469517,HN,NABA_core,-0.725007422748412,2A,,,,
GSM469518,AA,NABA_core,-0.330043127780182,2A,,,,
GSM469519,HN,NABA_core,-0.47964364515067,2A,,,,
GSM469520,AA,NABA_core,-0.180522521751956,2A,,,,
GSM469521,HN,NABA_core,-0.16499698987148,2A,,,,
GSM469522,AA,NABA_core,-0.013110966038081,2A,,,,
GSM469523,AA,NABA_core,0.158018605814402,2A,,,,
GSM469508,HN,NABA_core_excluding_fixed32,-0.554152519109761,2A,,,,
GSM469509,AA,NABA_core_excluding_fixed32,0.903210265080096,2A,,,,
GSM469510,AA,NABA_core_excluding_fixed32,0.480767453243704,2A,,,,
GSM469511,AA,NABA_core_excluding_fixed32,0.669796122237558,2A,,,,
GSM469512,AA,NABA_core_excluding_fixed32,0.311765729322907,2A,,,,
GSM469513,HN,NABA_core_excluding_fixed32,0.244080422509841,2A,,,,
GSM469514,AA,NABA_core_excluding_fixed32,0.26708291360066,2A,,,,
GSM469515,HN,NABA_core_excluding_fixed32,-0.249989378509138,2A,,,,
GSM469516,HN,NABA_core_excluding_fixed32,-0.473718767579003,2A,,,,
GSM469517,HN,NABA_core_excluding_fixed32,-0.695733604082068,2A,,,,
GSM469518,AA,NABA_core_excluding_fixed32,-0.318852457036909,2A,,,,
GSM469519,HN,NABA_core_excluding_fixed32,-0.457976456828292,2A,,,,
GSM469520,AA,NABA_core_excluding_fixed32,-0.155499061604839,2A,,,,
