PC,variable,rho
PC1,repair_ECM,0.35036075036075
PC1,atopy,-0.190159017233091
PC1,asthma,0.0343660874517634
PC2,repair_ECM,0.193650793650794
PC2,atopy,-0.190159017233091
PC2,asthma,-0.121426842329564
PC3,repair_ECM,-0.110750360750361
PC3,atopy,-0.428430556898651
PC3,asthma,-0.0870607548778007
PC4,repair_ECM,0.0922077922077922
PC4,atopy,0.224525104684854
PC4,asthma,0.151210784787759
PC5,repair_ECM,-0.207864357864358
PC5,atopy,-0.139755422303838
PC5,asthma,-0.10309826235529
PC6,repair_ECM,0.299350649350649
PC6,atopy,-0.0435303774389003
PC6,asthma,0.0274928699614107
PC7,repair_ECM,-0.0923520923520923
PC7,atopy,0.451341281866493
PC7,asthma,0.0870607548778007
PC8,repair_ECM,0.248412698412698
PC8,atopy,0.0572768124196057
PC8,asthma,-0.197032234723444
PC9,repair_ECM,-0.180952380952381
PC9,atopy,-0.0526946674260373
PC9,asthma,0.254309047143049
PC10,repair_ECM,-0.369264069264069
PC10,atopy,0.0412393049421161
PC10,asthma,-0.0893518273745849
