PC,variable,rho
PC1,repair_ECM,-0.343877551020408
PC1,atopy,0.315181637921601
PC1,asthma,-0.0947758204414548
PC2,repair_ECM,-0.210510204081633
PC2,atopy,0.21686809948734
PC2,asthma,-0.0503496546095229
PC3,repair_ECM,-0.120918367346939
PC3,atopy,-0.292049040642951
PC3,asthma,-0.411682470042569
PC4,repair_ECM,-0.206530612244898
PC4,atopy,-0.286265891323289
PC4,asthma,-0.210283851604478
PC5,repair_ECM,-0.526428571428571
PC5,atopy,-0.318073212581432
PC5,asthma,0.0621966321647047
PC6,repair_ECM,-0.288877551020408
PC6,atopy,0.057831493196624
PC6,asthma,0.201398618438091
PC7,repair_ECM,-0.0787755102040816
PC7,atopy,0.297832189962614
PC7,asthma,-0.0207322107215682
PC8,repair_ECM,-0.026530612244898
PC8,atopy,0.0462651945572992
PC8,asthma,-0.142163730662182
PC9,repair_ECM,-0.164183673469388
PC9,atopy,-0.14457873299156
PC9,asthma,0.281365716935569
PC10,repair_ECM,0.0781632653061224
PC10,atopy,0.0260241719384808
PC10,asthma,-0.0444261658319319
