sample_id,tissue,projected_state,nearest_distance,second_distance,assignment_margin,low_confidence
AF002,tracheal,E2_T2_low,1.37097931106209,2.79103363217803,1.42005432111595,FALSE
AF004,tracheal,E1_T2_high_IFN_low,1.22797498750407,2.11703930653198,0.889064319027912,FALSE
AF006,tracheal,E1_T2_high_IFN_low,2.04996221835423,2.49564067972022,0.445678461365985,FALSE
AF008,tracheal,E1_T2_high_IFN_low,1.29223311500328,3.17731959563772,1.88508648063444,FALSE
AF010,tracheal,E2_T2_low,0.911527081841845,2.27619612284917,1.36466904100733,FALSE
AF012,tracheal,E2_T2_low,0.813595604826604,1.40705910380841,0.593463498981804,FALSE
AF014,tracheal,E1_T2_high_IFN_low,0.8419263217776,2.29392627665576,1.45199995487816,FALSE
AF016,tracheal,E1_T2_high_IFN_low,1.40381886808855,1.53210748242348,0.128288614334933,FALSE
AF018,tracheal,E2_T2_low,1.26933455743999,1.56726456077199,0.297930003332001,FALSE
AF020,tracheal,E2_T2_low,0.599901101798395,1.90434774154424,1.30444663974584,FALSE
AF022,tracheal,E2_T2_low,0.938714579995622,1.65918637839838,0.720471798402754,FALSE
AF024,tracheal,E1_T2_high_IFN_low,1.22391937293277,3.02144367701049,1.79752430407772,FALSE
AF026,tracheal,E2_T2_low,1.38077482780749,1.68044776871323,0.29967294090574,FALSE
AF028,tracheal,E2_T2_low,2.13598706688831,2.15746563460168,0.0214785677133755,TRUE
AF030,tracheal,E1_T2_high_IFN_low,1.8457170995962,1.95799583137034,0.11227873177414,FALSE
AF032,tracheal,E1_T2_high_IFN_low,1.08306505474133,1.90395828452903,0.820893229787694,FALSE
AF034,tracheal,E2_T2_low,0.925894621317761,1.87595580498325,0.950061183665485,FALSE
AF036,tracheal,E2_T2_low,0.426579329524379,1.99597546860532,1.56939613908094,FALSE
AF040,tracheal,E1_T2_high_IFN_low,1.76542162937805,2.56408195743715,0.798660328059108,FALSE
AF042,tracheal,E2_T2_low,1.16835569243358,2.01587472441988,0.847519031986292,FALSE
AF044,tracheal,E1_T2_high_IFN_low,1.31408974759473,1.88405680108833,0.569967053493595,FALSE
AF046,tracheal,E2_T2_low,1.20108463986329,1.21117395466944,0.0100893148061536,TRUE
AF048,tracheal,E1_T2_high_IFN_low,1.12059884402389,2.12680163994371,1.00620279591983,FALSE
AF050,tracheal,E2_T2_low,1.33451616765171,1.43033399303648,0.0958178253847723,TRUE
AF052,tracheal,E1_T2_high_IFN_low,1.07683688685728,1.77688156989868,0.700044683041397,FALSE
AF054,tracheal,E3_IFN_high_repair_high,1.02926264428637,2.99702020432237,1.967757560036,FALSE
AF056,tracheal,E1_T2_high_IFN_low,2.09062293559237,3.92015881091667,1.8295358753243,FALSE
AF058,tracheal,E3_IFN_high_repair_high,0.667538815922876,3.30631253089026,2.63877371496739,FALSE
AF060,tracheal,E2_T2_low,1.02577035854087,1.69619453866864,0.670424180127766,FALSE
AF062,tracheal,E2_T2_low,0.53223691888955,1.87270103620774,1.34046411731819,FALSE
AF064,tracheal,E1_T2_high_IFN_low,0.886058937659528,2.5855032746403,1.69944433698077,FALSE
AF066,tracheal,E3_IFN_high_repair_high,1.33779172364907,1.824727745423,0.486936021773935,FALSE
AF068,tracheal,E1_T2_high_IFN_low,1.56782728568004,1.70674387310054,0.138916587420501,FALSE
AF070,tracheal,E2_T2_low,0.703937925938387,1.92061261238962,1.21667468645124,FALSE
AF072,tracheal,E3_IFN_high_repair_high,2.66802535405345,2.81199596656058,0.143970612507132,FALSE
AF074,tracheal,E1_T2_high_IFN_low,2.53846021181481,3.07141845544114,0.532958243626328,FALSE
AF076,tracheal,E1_T2_high_IFN_low,2.31036728293042,2.7693981241377,0.459030841207285,FALSE
AF079,tracheal,E2_T2_low,1.23690792861534,1.77833758879543,0.541429660180086,FALSE
AF083,tracheal,E1_T2_high_IFN_low,1.24142752273886,2.30436515955447,1.06293763681561,FALSE
AF086,tracheal,E2_T2_low,0.736215217162712,2.46814332134947,1.73192810418676,FALSE
AF088,tracheal,E1_T2_high_IFN_low,2.03467152987324,2.33119163115533,0.296520101282087,FALSE
AF090,tracheal,E1_T2_high_IFN_low,1.33882849507177,2.56214405494873,1.22331555987696,FALSE
AF094,tracheal,E2_T2_low,0.789840806858475,2.35462990800313,1.56478910114465,FALSE
AF096,tracheal,E3_IFN_high_repair_high,1.45604909280243,2.62885848619063,1.17280939338821,FALSE
AF100,tracheal,E2_T2_low,1.38770563819251,1.83443638060752,0.446730742415008,FALSE
AF102,tracheal,E2_T2_low,1.23615839994179,1.72618795156612,0.490029551624328,FALSE
AF105,tracheal,E1_T2_high_IFN_low,1.40598941841141,1.91151365927037,0.505524240858963,FALSE
AF107,tracheal,E2_T2_low,0.275541512964236,2.13664741718782,1.86110590422358,FALSE
AF108,tracheal,E2_T2_low,0.598376997377916,1.73028518764321,1.1319081902653,FALSE
