PC,variable,rho
PC1,T2_score,0.0414059411320194
PC1,IFN_score,0.712788068263465
PC1,repair_ECM,0.161322481317341
PC1,asthma,0.00320190597713513
PC2,T2_score,-0.907974616034093
PC2,IFN_score,0.410958837024587
PC2,repair_ECM,0.262497524587902
PC2,asthma,-0.15765291476257
PC3,T2_score,0.132885733547714
PC3,IFN_score,0.02091492660984
PC3,repair_ECM,0.102699003472369
PC3,asthma,-0.0419673071793804
PC4,T2_score,0.0266790443229239
PC4,IFN_score,0.0766495181078629
PC4,repair_ECM,-0.434689871078393
PC4,asthma,-0.0347146178265209
PC5,T2_score,0.150280999487402
PC5,IFN_score,0.248590891770336
PC5,repair_ECM,-0.218844373969174
PC5,asthma,-0.00163818445341797
PC6,T2_score,0.195039095425438
PC6,IFN_score,0.0523252430550839
PC6,repair_ECM,-0.179682103467579
PC6,asthma,-0.003008302359913
PC7,T2_score,0.00880774859393018
PC7,IFN_score,0.0100827734910353
PC7,repair_ECM,-0.0516362742063132
PC7,asthma,-0.186663672174008
PC8,T2_score,-0.0581888776964119
PC8,IFN_score,-0.0475612990676722
PC8,repair_ECM,-0.0484437968853775
PC8,asthma,-0.0193007913784518
PC9,T2_score,-0.0562926941563116
PC9,IFN_score,-0.0350136228093943
PC9,repair_ECM,0.288430299187064
PC9,asthma,-0.094701953993499
PC10,T2_score,-0.122334615662334
PC10,IFN_score,-0.207021305344674
PC10,repair_ECM,0.193378549669457
PC10,asthma,-0.0316467451228472
