gene_symbol,log2FC_AA_minus_HN,P.Value,adj.P.Val,primary_DEG,direction
COL10A1,0.313038761761905,0.00599042598087416,0.0396005662708262,FALSE,up
COL11A1,0.188739901761905,0.00218295607486185,0.0283205129832042,FALSE,up
COL14A1,0.319176573888889,0.00901824671461974,0.0491740358684283,FALSE,up
COL15A1,0.173427669936508,0.00496506195053508,0.0365941402059214,FALSE,up
COL19A1,0.14700728468254,0.0107911128761428,0.0543541121063683,FALSE,up
COL1A1,0.0807678074444445,0.640871160731559,0.751847634754453,FALSE,up
COL1A2,0.200272720492063,0.00286997238469972,0.0306191218238884,FALSE,up
COL2A1,0.161982597714286,0.00393939424359014,0.0340355543240346,FALSE,up
COL3A1,0.245558236238096,0.000428618134298237,0.0251913490861422,FALSE,up
COL4A3,0.414062244730159,0.00015365303146573,0.0251913490861422,FALSE,up
COL5A1,0.487517905984126,0.00722522924999761,0.0436470637456524,FALSE,up
COL5A2,0.19453637247619,0.00908496963465928,0.0493673079281377,FALSE,up
COL5A3,0.169277906428571,0.02489480279506,0.0881860786757816,FALSE,up
COL8A1,0.403728323793651,0.000911270712175855,0.0251913490861422,FALSE,up
COLGALT1,-1.20692331866667,0.00621572588272035,0.0403656865336675,TRUE,down
ITGA1,0.601852683396825,0.00161206551628575,0.0260860097395481,TRUE,up
ITGA2B,0.505343923904762,0.00169924246194853,0.0262247175822358,TRUE,up
ITGA4,0.343397895269841,0.00320843354577746,0.031415582181686,FALSE,up
ITGA6,0.432487240428571,0.00644285297792568,0.0410973443386037,FALSE,up
ITGB1,-0.49297070052381,0.0118368108378687,0.057631534956437,FALSE,down
ITGB2,-0.467279368142857,0.00030536179438592,0.0251913490861422,FALSE,down
ITGBL1,0.271554301333333,0.00551756795099504,0.0382480249067043,FALSE,up
LAMA1,0.147061609523809,0.0138719725794854,0.0628425353715586,FALSE,up
LAMA2,0.576836040587301,0.00210764717533376,0.0278658051727215,TRUE,up
LAMA4,0.170302194793651,0.00830722940157729,0.0472702073930115,FALSE,up
LAMC1,-0.139323342809524,0.0328216162893683,0.103827470427684,FALSE,down
MMP1,0.215044851857143,0.00227003443802737,0.0285346035403657,FALSE,up
MMP13,0.196026057857142,0.00170557435094927,0.0262247175822358,FALSE,up
MMP16,0.549617487126984,0.00413409002811023,0.0344196599752482,TRUE,up
MMP20,0.216208114365079,0.00973927797070884,0.0511934313776639,FALSE,up
POSTN,0.745894698507936,0.00133458118082195,0.0253648828528291,TRUE,up
THBS2,0.127877070063492,0.00302780830252422,0.0310375088004669,FALSE,up
