gene	ECM_organization	collagen_fibril_organization	wound_healing	cell_adhesion	collagen	integrin	laminin	MMP	matricellular	GO_any	family_any	annotation_count	mean_AA	mean_HN	mean_AA_minus_HN	AA_gt_HN
ADAMTS12	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	3	2.329591291	2.27633916914286	0.0532521218571427	TRUE
ADAMTS2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	2.73265028588889	2.62796373857143	0.10468654731746	TRUE
ADAMTS3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	2.506995334	2.350746956	0.156248378	TRUE
ADAMTS7	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	2.53873988777778	2.501347163	0.0373927247777774	TRUE
AEBP1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	2.401639076	2.33880007357143	0.0628390024285714	TRUE
ANXA2	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	4	12.0415565588889	12.11831621	-0.0767596511111108	FALSE
ATP7A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	3.43803855211111	3.105406811	0.332631741111111	TRUE
BMP1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2	3.40561502733333	3.403195257	0.00241977033333329	TRUE
COL10A1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	2	3.84879115833333	3.53575239657143	0.313038761761905	TRUE
COL11A1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.67526794633333	2.48652804457143	0.188739901761905	TRUE
COL11A2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	3.09550447255556	3.19934687714286	-0.103842404587302	FALSE
COL13A1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	4	3.20894540155556	2.844515896	0.364429505555556	TRUE
COL14A1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	4	3.33874134888889	3.019564775	0.319176573888889	TRUE
COL15A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.64062314122222	2.46719547128571	0.173427669936508	TRUE
COL16A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	4.09516643988889	4.09520862928571	-4.21893968258757e-05	FALSE
COL17A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.29360597544444	2.215670799	0.0779351764444445	TRUE
COL18A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.59274308988889	2.55638381771429	0.0363592721746033	TRUE
COL19A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.46400489311111	2.31699760842857	0.14700728468254	TRUE
COL1A1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	5	5.27612731044444	5.195359503	0.0807678074444445	TRUE
COL1A2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.80532977677778	2.60505705628571	0.200272720492063	TRUE
COL2A1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	3	2.671534845	2.50955224728571	0.161982597714286	TRUE
