gene	GO_ECM	GO_collagen_fibril	GO_wound_healing	GO_cell_adhesion	family_collagen	family_integrin	family_laminin	family_MMP	family_matricellular	annotation_count	mean_AA	mean_HN	AA_minus_HN	mean_expression	expression_variance	mean_signed_correlation_to_selected_cluster	signed_degree_030	signed_degree_040	signed_degree_050	signed_degree_060	aa_positive_integrin_family_absolute_median	aa_positive_matricellular_family_signed_mean	aa_positive_mmp_family_signed_max	aa_positive_all_signed_median	aa_positive_go_collagen_signed_degree_060
ADAMTS12	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2.329591291	2.27633916914286	0.0532521218571427	2.3062934876875	0.00411169912146095	0.514528120049352	0.84375	0.791666666666667	0.65625	0.520833333333333	0.569349592585404	0.48715801492973	0.889389391226272	0.616215285218843	0.526315789473684
ADAMTS2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2.73265028588889	2.62796373857143	0.10468654731746	2.6868499214375	0.0117988608575649	0.609189683667501	0.885416666666667	0.822916666666667	0.78125	0.71875	0.768275886439255	0.653393856890613	0.961505765525562	0.734396324429919	0.684210526315789
ADAMTS3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2.506995334	2.350746956	0.156248378	2.438636668625	0.0138696275109463	0.633800876149638	0.895833333333333	0.875	0.802083333333333	0.760416666666667	0.757955948351241	0.601621976974129	0.912506220043322	0.760652623521623	0.763157894736842
ADAMTS7	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2.53873988777778	2.501347163	0.0373927247777774	2.5223805706875	0.00195414928289387	0.362856806270382	0.75	0.645833333333333	0.333333333333333	0.0625	0.46547523437771	0.361713107026403	0.650707782234725	0.465824188131151	0.0263157894736842
AEBP1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2.401639076	2.33880007357143	0.0628390024285714	2.3741470124375	0.00281390110626408	0.667474416873816	0.895833333333333	0.875	0.854166666666667	0.760416666666667	0.842545170979198	0.682245837425382	0.975850884400961	0.817422764002499	0.763157894736842
ATP7A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	3.43803855211111	3.105406811	0.332631741111111	3.292512165375	0.0921325971849317	0.545595645042053	0.864583333333333	0.822916666666667	0.708333333333333	0.604166666666667	0.659645022682614	0.596617438260495	0.868583330706912	0.652490911620668	0.578947368421053
COL10A1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	3.84879115833333	3.53575239657143	0.313038761761905	3.7118367000625	0.0627810187652754	0.624541069532509	0.90625	0.864583333333333	0.833333333333333	0.729166666666667	0.660845136626714	0.58926258053419	0.9225678182501	0.760173385202096	0.846153846153846
COL11A1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.67526794633333	2.48652804457143	0.188739901761905	2.5926942393125	0.0184981860068031	0.659102406522799	0.90625	0.90625	0.84375	0.760416666666667	0.767650565450985	0.632397883271259	0.891842728247563	0.792445401988592	0.736842105263158
COL11A2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3	3.09550447255556	3.19934687714286	-0.103842404587302	3.1409355245625	0.0293841996459382	-0.305438787455482	0.0309278350515464	0.0103092783505155	0	0	0.36589092337132	-0.219088674240384	0.0404030463880573	-0.365545171725728	0
COL13A1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4	3.20894540155556	2.844515896	0.364429505555556	3.049507492875	0.0542570580969553	0.640737432219077	0.895833333333333	0.885416666666667	0.822916666666667	0.770833333333333	0.745597506792583	0.636161752077903	0.86552754474831	0.778600050930321	0.763157894736842
COL14A1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4	3.33874134888889	3.019564775	0.319176573888889	3.1991015978125	0.0708170525325331	0.610334673831576	0.885416666666667	0.833333333333333	0.78125	0.6875	0.758273361913737	0.644382946860106	0.837041278202684	0.741227177261853	0.684210526315789
COL15A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.64062314122222	2.46719547128571	0.173427669936508	2.564748535625	0.0176892933726054	0.688719771564684	0.90625	0.90625	0.833333333333333	0.802083333333333	0.820764459137226	0.677183220740092	0.954071177786266	0.833003364844747	0.82051282051282
COL17A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.29360597544444	2.215670799	0.0779351764444445	2.25950933575	0.0105384754654901	0.501545564627814	0.822916666666667	0.75	0.6875	0.479166666666667	0.601097641926089	0.529377298441171	0.680569548333986	0.590898158216468	0.512820512820513
COL18A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.59274308988889	2.55638381771429	0.0363592721746033	2.5768359083125	0.00312722458503878	0.329474120139006	0.677083333333333	0.5	0.239583333333333	0.0208333333333333	0.412493519411222	0.293661612944114	0.598536767629661	0.408369229079124	0.0512820512820513
COL19A1	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.46400489311111	2.31699760842857	0.14700728468254	2.3996892060625	0.0145525124913406	0.637998273547975	0.90625	0.895833333333333	0.833333333333333	0.729166666666667	0.784645578986947	0.607993147844416	0.827919701642725	0.759573117168278	0.717948717948718
COL1A1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5	5.27612731044444	5.195359503	0.0807678074444445	5.2407913946875	0.115283575571667	0.166750382533144	0.22680412371134	0.11340206185567	0.0412371134020619	0.0103092783505155	0.218632391857918	0.18544014101821	0.462023807616477	0.218012517057304	0
COL1A2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.80532977677778	2.60505705628571	0.200272720492063	2.7177104615625	0.0218977298234667	0.673619106131418	0.90625	0.90625	0.822916666666667	0.78125	0.835388382429971	0.662283228304956	0.931723344924236	0.807505659250354	0.789473684210526
COL2A1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.671534845	2.50955224728571	0.161982597714286	2.6006674585	0.0146276470246981	0.668524695876551	0.90625	0.885416666666667	0.84375	0.760416666666667	0.776250266537254	0.648389387400914	0.938176399741353	0.818430894155147	0.789473684210526
COL3A1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5	3.26820974266667	3.02265150642857	0.245558236238096	3.1607780143125	0.026480746019802	0.549315567021257	0.875	0.822916666666667	0.75	0.677083333333333	0.649251231133712	0.583671609053176	0.795195638754195	0.658790305629107	0.710526315789474
COL4A2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	2.54617064633333	2.44442012814286	0.101750518190476	2.501654794625	0.00585328381736082	0.636690597608029	0.90625	0.885416666666667	0.822916666666667	0.78125	0.806271809989168	0.640378738543727	0.88370281160783	0.772121523625776	0.769230769230769
COL4A3	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	3.45343186244444	3.03936961771429	0.414062244730159	3.272279630375	0.0710787077250733	0.67310484459209	0.90625	0.895833333333333	0.854166666666667	0.760416666666667	0.817929925029964	0.678129783704867	0.966722942426789	0.817129353002075	0.769230769230769
COL4A4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2	2.45220509222222	2.32977168728571	0.122433404936508	2.3986404775625	0.0128876224143333	0.536629069229398	0.875	0.833333333333333	0.708333333333333	0.583333333333333	0.545660301472313	0.4834326029879	0.876798423127215	0.632314131806361	0.666666666666667
COL4A6	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.618026254	2.43836806985714	0.179658184142857	2.5394257984375	0.0356336657396881	0.550029520543738	0.84375	0.8125	0.71875	0.572916666666667	0.664407195380344	0.57350174513537	0.939758789341048	0.663897167155248	0.538461538461538
COL5A1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5	3.43258492555556	2.94506701957143	0.487517905984127	3.2192958416875	0.15975076843152	0.643380746799685	0.90625	0.895833333333333	0.833333333333333	0.760416666666667	0.758623939344917	0.608876945731863	0.862976045134222	0.78199229862141	0.736842105263158
COL5A2	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3	2.86792935233333	2.67339297985714	0.194536372476191	2.782819689375	0.0255005219722785	0.669122402939855	0.90625	0.90625	0.833333333333333	0.75	0.848031516226583	0.677531954867266	0.939294720227812	0.830186353442609	0.736842105263158
COL5A3	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4	2.831901577	2.66262367057143	0.169277906428571	2.7578424929375	0.0246418613606358	0.389912017695699	0.802083333333333	0.604166666666667	0.322916666666667	0.104166666666667	0.421403076867784	0.383039217865382	0.809142454786378	0.453133240250236	0.131578947368421
COL6A1	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	2.85573384211111	2.77429710128571	0.0814367408253971	2.820105268	0.00854207910576058	0.419659376090972	0.822916666666667	0.75	0.572916666666667	0.104166666666667	0.528015416139987	0.44398150036289	0.812457476949568	0.526218930220098	0.0256410256410256
COL6A2	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	3.23001014044444	3.11881977514286	0.111190365301587	3.181364355625	0.0115642889832116	0.437098648478423	0.822916666666667	0.760416666666667	0.583333333333333	0.270833333333333	0.503997578532163	0.438015368504149	0.664596411424142	0.532015091454948	0.282051282051282
COL6A3	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	2	2.47106459188889	2.40818484028571	0.0628797516031745	2.4435547005625	0.00406436574771005	0.635649192198209	0.90625	0.854166666666667	0.833333333333333	0.739583333333333	0.779833076176224	0.658826345245305	0.948974021165032	0.765867347580497	0.717948717948718
