gene	seed_degree_abs_r030	retained
ADAMTS12	0.835616438356164	TRUE
ADAMTS2	0.917808219178082	TRUE
ADAMTS3	0.904109589041096	TRUE
ADAMTS7	0.808219178082192	TRUE
AEBP1	0.917808219178082	TRUE
ANXA2	0.232876712328767	FALSE
ATP7A	0.917808219178082	TRUE
COL10A1	0.888888888888889	TRUE
COL11A1	0.902777777777778	TRUE
COL11A2	0.616438356164384	TRUE
COL13A1	0.875	TRUE
COL14A1	0.888888888888889	TRUE
COL15A1	0.902777777777778	TRUE
COL16A1	0.123287671232877	FALSE
COL17A1	0.819444444444444	TRUE
COL18A1	0.708333333333333	TRUE
COL19A1	0.888888888888889	TRUE
COL1A1	0.305555555555556	TRUE
COL1A2	0.902777777777778	TRUE
COL2A1	0.888888888888889	TRUE
COL3A1	0.944444444444444	TRUE
COL4A1	0.277777777777778	FALSE
COL4A2	0.902777777777778	TRUE
COL4A3	0.944444444444444	TRUE
COL4A4	0.847222222222222	TRUE
COL4A5	0.277777777777778	FALSE
COL4A6	0.888888888888889	TRUE
COL5A1	0.902777777777778	TRUE
COL5A2	0.888888888888889	TRUE
COL5A3	0.833333333333333	TRUE
COL6A1	0.875	TRUE
COL6A2	0.805555555555556	TRUE
COL6A3	0.930555555555556	TRUE
COL7A1	0.0684931506849315	FALSE
COL8A1	0.930555555555556	TRUE
COL8A2	0.0833333333333333	FALSE
COL9A1	0.916666666666667	TRUE
COL9A2	0.315068493150685	TRUE
COL9A3	0.902777777777778	TRUE
COLGALT1	0.89041095890411	TRUE
COLGALT2	0.835616438356164	TRUE
COMP	0.888888888888889	TRUE
CRTAP	0.821917808219178	TRUE
CYP1B1	0.904109589041096	TRUE
DDR2	0.89041095890411	TRUE
DPT	0.904109589041096	TRUE
EFEMP2	0.0821917808219178	FALSE
EMILIN1	0.917808219178082	TRUE
EXT1	0.780821917808219	TRUE
FKBP10	0.657534246575342	TRUE
FMOD	0.10958904109589	FALSE
FOXC1	0.849315068493151	TRUE
FOXC2	0.89041095890411	TRUE
GREM1	0.904109589041096	TRUE
ITGA1	0.930555555555556	TRUE
ITGA10	0.916666666666667	TRUE
ITGA2	0.722222222222222	TRUE
ITGA2B	0.902777777777778	TRUE
ITGA3	0.111111111111111	FALSE
ITGA4	0.888888888888889	TRUE
ITGA5	0.301369863013699	TRUE
ITGA6	0.888888888888889	TRUE
ITGA7	0.902777777777778	TRUE
ITGA8	0.916666666666667	TRUE
ITGA9	0.902777777777778	TRUE
ITGAE	0.438356164383562	TRUE
ITGAL	0.875	TRUE
ITGAM	0.767123287671233	TRUE
ITGAV	0.123287671232877	FALSE
ITGAX	0.123287671232877	FALSE
ITGB1	0.479452054794521	TRUE
ITGB2	0.863013698630137	TRUE
ITGB3	0.944444444444444	TRUE
ITGB4	0.63013698630137	TRUE
ITGB5	0.493150684931507	TRUE
ITGB7	0.63013698630137	TRUE
ITGB8	0.819444444444444	TRUE
ITGBL1	0.902777777777778	TRUE
LAMA1	0.944444444444444	TRUE
LAMA2	0.902777777777778	TRUE
LAMA3	0.835616438356164	TRUE
LAMA4	0.902777777777778	TRUE
LAMA5	0.0833333333333333	FALSE
LAMB1	0.902777777777778	TRUE
LAMB2	0.0958904109589041	FALSE
LAMB3	0.876712328767123	TRUE
LAMB4	0.902777777777778	TRUE
LAMC1	0.616438356164384	TRUE
LAMC2	0.493150684931507	TRUE
LAMC3	0.902777777777778	TRUE
LOX	0.506849315068493	TRUE
LOXL1	0.136986301369863	FALSE
LOXL2	0.904109589041096	TRUE
LUM	0.904109589041096	TRUE
MMP1	0.902777777777778	TRUE
MMP10	0.10958904109589	FALSE
MMP11	0.847222222222222	TRUE
MMP12	0.397260273972603	TRUE
MMP13	0.930555555555556	TRUE
MMP14	0.356164383561644	TRUE
MMP15	0.10958904109589	FALSE
MMP16	0.930555555555556	TRUE
MMP17	0.916666666666667	TRUE
MMP2	0.777777777777778	TRUE
MMP20	0.902777777777778	TRUE
MMP24	0.569444444444444	TRUE
MMP25	0.930555555555556	TRUE
MMP26	0.902777777777778	TRUE
MMP27	0.847222222222222	TRUE
MMP28	0.916666666666667	TRUE
MMP3	0.930555555555556	TRUE
MMP7	0.602739726027397	TRUE
MMP8	0.875	TRUE
MMP9	0.0958904109589041	FALSE
NF1	0.904109589041096	TRUE
P4HA1	0.835616438356164	TRUE
PLOD3	0.821917808219178	TRUE
POSTN	0.902777777777778	TRUE
PXDN	0.150684931506849	FALSE
RB1	0.123287671232877	FALSE
SERPINF2	0.136986301369863	FALSE
SERPINH1	0.726027397260274	TRUE
SPARCL1	0.0958904109589041	FALSE
SPP1	0.205479452054795	FALSE
TGFB2	0.904109589041096	TRUE
TGFBR1	0.89041095890411	TRUE
THBS1	0.680555555555556	TRUE
THBS2	0.875	TRUE
THBS3	0.763888888888889	TRUE
THBS4	0.875	TRUE
TLL1	0.904109589041096	TRUE
TLL2	0.876712328767123	TRUE
TNC	0.222222222222222	FALSE
TNN	0.875	TRUE
TNR	0.888888888888889	TRUE
TNXB	0.916666666666667	TRUE
VIPAS39	0.849315068493151	TRUE
VPS33B	0.63013698630137	TRUE
