probe_id	gene_symbol	gene_title	entrez_id	present_in_series	reliable_symbol	included_before_collapse	overall_mean_expression	tie_rule
220951_s_at	A1CF	APOBEC1 complementation factor	29974	TRUE	TRUE	TRUE	2.28933681375	highest overall mean; lexical probe_id if exact mean tie
217757_at	A2M	alpha-2-macroglobulin	2	TRUE	TRUE	TRUE	2.8895590896875	highest overall mean; lexical probe_id if exact mean tie
219488_at	A4GALT	alpha 1,4-galactosyltransferase	53947	TRUE	TRUE	TRUE	3.44109716725	highest overall mean; lexical probe_id if exact mean tie
221131_at	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	51146	TRUE	TRUE	TRUE	2.01669384425	highest overall mean; lexical probe_id if exact mean tie
218075_at	AAAS	achalasia, adrenocortical insufficiency, alacrimia	8086	TRUE	TRUE	TRUE	3.953955575125	highest overall mean; lexical probe_id if exact mean tie
218434_s_at	AACS	acetoacetyl-CoA synthetase	65985	TRUE	TRUE	TRUE	4.38744766775	highest overall mean; lexical probe_id if exact mean tie
205969_at	AADAC	arylacetamide deacetylase	13	TRUE	TRUE	TRUE	2.560683370125	highest overall mean; lexical probe_id if exact mean tie
202851_at	AAGAB	alpha- and gamma-adaptin binding protein	79719	TRUE	TRUE	TRUE	7.191104394625	highest overall mean; lexical probe_id if exact mean tie
205434_s_at	AAK1	AP2 associated kinase 1	22848	TRUE	TRUE	TRUE	3.0604846989375	highest overall mean; lexical probe_id if exact mean tie
221599_at	AAMDC	adipogenesis associated, Mth938 domain containing	28971	TRUE	TRUE	TRUE	5.43020458	highest overall mean; lexical probe_id if exact mean tie
201511_at	AAMP	angio-associated, migratory cell protein	14	TRUE	TRUE	TRUE	4.8267109675	highest overall mean; lexical probe_id if exact mean tie
207225_at	AANAT	aralkylamine N-acetyltransferase	15	TRUE	TRUE	TRUE	2.1985958783125	highest overall mean; lexical probe_id if exact mean tie
218089_at	AAR2	AAR2 splicing factor homolog (S. cerevisiae)	25980	TRUE	TRUE	TRUE	3.676569520875	highest overall mean; lexical probe_id if exact mean tie
201000_at	AARS	alanyl-tRNA synthetase	16	TRUE	TRUE	TRUE	5.074699481875	highest overall mean; lexical probe_id if exact mean tie
202169_s_at	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	TRUE	TRUE	TRUE	5.255041002625	highest overall mean; lexical probe_id if exact mean tie
210852_s_at	AASS	aminoadipate-semialdehyde synthase	10157	TRUE	TRUE	TRUE	3.0615651266875	highest overall mean; lexical probe_id if exact mean tie
209165_at	AATF	apoptosis antagonizing transcription factor	26574	TRUE	TRUE	TRUE	4.1902084148125	highest overall mean; lexical probe_id if exact mean tie
205986_at	AATK	apoptosis-associated tyrosine kinase	9625	TRUE	TRUE	TRUE	3.1334248644375	highest overall mean; lexical probe_id if exact mean tie
209460_at	ABAT	4-aminobutyrate aminotransferase	18	TRUE	TRUE	TRUE	7.26867922025	highest overall mean; lexical probe_id if exact mean tie
203505_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	19	TRUE	TRUE	TRUE	4.0464419053125	highest overall mean; lexical probe_id if exact mean tie
220159_at	ABCA11P	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	79963	TRUE	TRUE	TRUE	3.1746109135	highest overall mean; lexical probe_id if exact mean tie
215465_at	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	26154	TRUE	TRUE	TRUE	2.817579391	highest overall mean; lexical probe_id if exact mean tie
212772_s_at	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	20	TRUE	TRUE	TRUE	2.51491139775	highest overall mean; lexical probe_id if exact mean tie
204343_at	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	21	TRUE	TRUE	TRUE	2.546163191375	highest overall mean; lexical probe_id if exact mean tie
210082_at	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	24	TRUE	TRUE	TRUE	2.1516384014375	highest overall mean; lexical probe_id if exact mean tie
213353_at	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	23461	TRUE	TRUE	TRUE	5.1671768893125	highest overall mean; lexical probe_id if exact mean tie
217504_at	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	23460	TRUE	TRUE	TRUE	2.8714417589375	highest overall mean; lexical probe_id if exact mean tie
219577_s_at	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	10347	TRUE	TRUE	TRUE	3.180705906625	highest overall mean; lexical probe_id if exact mean tie
204719_at	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	10351	TRUE	TRUE	TRUE	2.6715698800625	highest overall mean; lexical probe_id if exact mean tie
209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	5243	TRUE	TRUE	TRUE	2.459897156375	highest overall mean; lexical probe_id if exact mean tie
208288_at	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	8647	TRUE	TRUE	TRUE	2.71469350525	highest overall mean; lexical probe_id if exact mean tie
207819_s_at	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	5244	TRUE	TRUE	TRUE	2.3654776788125	highest overall mean; lexical probe_id if exact mean tie
203191_at	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	10058	TRUE	TRUE	TRUE	2.99553160575	highest overall mean; lexical probe_id if exact mean tie
209620_s_at	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	22	TRUE	TRUE	TRUE	3.2830865145	highest overall mean; lexical probe_id if exact mean tie
206317_s_at	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	11194	TRUE	TRUE	TRUE	1.907308997625	highest overall mean; lexical probe_id if exact mean tie
207321_s_at	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	23457	TRUE	TRUE	TRUE	3.1210839005	highest overall mean; lexical probe_id if exact mean tie
202805_s_at	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4363	TRUE	TRUE	TRUE	4.6562998411875	highest overall mean; lexical probe_id if exact mean tie
213485_s_at	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	89845	TRUE	TRUE	TRUE	4.77757520325	highest overall mean; lexical probe_id if exact mean tie
206155_at	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	1244	TRUE	TRUE	TRUE	2.6745194111875	highest overall mean; lexical probe_id if exact mean tie
208161_s_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	8714	TRUE	TRUE	TRUE	2.8829605360625	highest overall mean; lexical probe_id if exact mean tie
203196_at	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	10257	TRUE	TRUE	TRUE	3.9517775635	highest overall mean; lexical probe_id if exact mean tie
209380_s_at	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	10057	TRUE	TRUE	TRUE	3.913119735375	highest overall mean; lexical probe_id if exact mean tie
210245_at	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	6833	TRUE	TRUE	TRUE	2.7420800806875	highest overall mean; lexical probe_id if exact mean tie
208562_s_at	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	10060	TRUE	TRUE	TRUE	2.602848750875	highest overall mean; lexical probe_id if exact mean tie
205142_x_at	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	215	TRUE	TRUE	TRUE	2.687576320125	highest overall mean; lexical probe_id if exact mean tie
207583_at	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	225	TRUE	TRUE	TRUE	2.828380143	highest overall mean; lexical probe_id if exact mean tie
202850_at	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	5825	TRUE	TRUE	TRUE	4.982394928	highest overall mean; lexical probe_id if exact mean tie
203981_s_at	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	5826	TRUE	TRUE	TRUE	3.2314276391875	highest overall mean; lexical probe_id if exact mean tie
201872_s_at	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	6059	TRUE	TRUE	TRUE	4.7182498018125	highest overall mean; lexical probe_id if exact mean tie
200045_at	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	23	TRUE	TRUE	TRUE	3.794178949125	highest overall mean; lexical probe_id if exact mean tie
207622_s_at	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	10061	TRUE	TRUE	TRUE	4.00814449875	highest overall mean; lexical probe_id if exact mean tie
202394_s_at	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	55324	TRUE	TRUE	TRUE	3.018707583625	highest overall mean; lexical probe_id if exact mean tie
204567_s_at	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	9619	TRUE	TRUE	TRUE	4.6132705335625	highest overall mean; lexical probe_id if exact mean tie
209735_at	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	9429	TRUE	TRUE	TRUE	2.5233730753125	highest overall mean; lexical probe_id if exact mean tie
207593_at	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	64137	TRUE	TRUE	TRUE	2.4273480965	highest overall mean; lexical probe_id if exact mean tie
220383_at	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	64240	TRUE	TRUE	TRUE	2.6531976981875	highest overall mean; lexical probe_id if exact mean tie
218633_x_at	ABHD10	abhydrolase domain containing 10	55347	TRUE	TRUE	TRUE	4.8344432991875	highest overall mean; lexical probe_id if exact mean tie
221927_s_at	ABHD11	abhydrolase domain containing 11	83451	TRUE	TRUE	TRUE	6.7220021986875	highest overall mean; lexical probe_id if exact mean tie
221267_s_at	ABHD17A	abhydrolase domain containing 17A	81926	TRUE	TRUE	TRUE	5.854415282375	highest overall mean; lexical probe_id if exact mean tie
220285_at	ABHD17B	abhydrolase domain containing 17B	51104	TRUE	TRUE	TRUE	2.4622694983125	highest overall mean; lexical probe_id if exact mean tie
221815_at	ABHD2	abhydrolase domain containing 2	11057	TRUE	TRUE	TRUE	4.9802562931875	highest overall mean; lexical probe_id if exact mean tie
