HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:18038	COL26A1	collagen type XXVI alpha 1 chain	Approved	gene with protein product	EMID2	Emu2, EMI6	7q22.1	136227	ENSG00000160963	OTTHUMG00000150033	490	Collagens
HGNC:22442	COL28A1	collagen type XXVIII alpha 1 chain	Approved	gene with protein product			7p21.3	340267	ENSG00000215018	OTTHUMG00000150034	490	Collagens
HGNC:2211	COL6A1	collagen type VI alpha 1 chain	Approved	gene with protein product			21q22.3	1291	ENSG00000142156	OTTHUMG00000090440	490	Collagens
HGNC:2212	COL6A2	collagen type VI alpha 2 chain	Approved	gene with protein product			21q22.3	1292	ENSG00000142173	OTTHUMG00000090489	490	Collagens
HGNC:2213	COL6A3	collagen type VI alpha 3 chain	Approved	gene with protein product			2q37.3	1293	ENSG00000163359	OTTHUMG00000150020	490	Collagens
HGNC:33484	COL6A4P1	collagen type VI alpha 4 pseudogene 1	Approved	pseudogene	DVWA	VWA6, DIVA, COL6A4, COL6A4P	3p25.1	344875	ENSG00000230524	OTTHUMG00000154983	490	Collagens
HGNC:38501	COL6A4P2	collagen type VI alpha 4 pseudogene 2	Approved	pseudogene		COL6A4	3q22.1	646300	ENSG00000228252	OTTHUMG00000154984	490	Collagens
HGNC:26674	COL6A5	collagen type VI alpha 5 chain	Approved	gene with protein product	COL29A1	FLJ35880, VWA4	3q22.1	256076	ENSG00000172752	OTTHUMG00000159712	490	Collagens
HGNC:27023	COL6A6	collagen type VI alpha 6 chain	Approved	gene with protein product			3q22.1	131873	ENSG00000206384	OTTHUMG00000159653	490	Collagens
HGNC:2214	COL7A1	collagen type VII alpha 1 chain	Approved	gene with protein product	EBDCT, EBD1, EBR1		3p21.31	1294	ENSG00000114270	OTTHUMG00000133541	490	Collagens
HGNC:2188	COL12A1	collagen type XII alpha 1 chain	Approved	gene with protein product	COL12A1L		6q13-q14.1	1303	ENSG00000111799	OTTHUMG00000015051	2248	Fibril associated collagens with interrupted triple helices
HGNC:2191	COL14A1	collagen type XIV alpha 1 chain	Approved	gene with protein product	UND		8q24.12	7373	ENSG00000187955	OTTHUMG00000149877	2248	Fibril associated collagens with interrupted triple helices
HGNC:2193	COL16A1	collagen type XVI alpha 1 chain	Approved	gene with protein product			1p35.2	1307	ENSG00000084636	OTTHUMG00000003883	2248	Fibril associated collagens with interrupted triple helices
HGNC:2196	COL19A1	collagen type XIX alpha 1 chain	Approved	gene with protein product			6q13	1310	ENSG00000082293	OTTHUMG00000014987	2248	Fibril associated collagens with interrupted triple helices
HGNC:14670	COL20A1	collagen type XX alpha 1 chain	Approved	gene with protein product		KIAA1510	20q13.33	57642	ENSG00000101203	OTTHUMG00000032964	2248	Fibril associated collagens with interrupted triple helices
HGNC:17025	COL21A1	collagen type XXI alpha 1 chain	Approved	gene with protein product			6p12.1	81578	ENSG00000124749	OTTHUMG00000014907	2248	Fibril associated collagens with interrupted triple helices
HGNC:22989	COL22A1	collagen type XXII alpha 1 chain	Approved	gene with protein product			8q24.23-q24.3	169044	ENSG00000169436	OTTHUMG00000150035	2248	Fibril associated collagens with interrupted triple helices
HGNC:2217	COL9A1	collagen type IX alpha 1 chain	Approved	gene with protein product			6q13	1297	ENSG00000112280	OTTHUMG00000014988	2248	Fibril associated collagens with interrupted triple helices
HGNC:2218	COL9A2	collagen type IX alpha 2 chain	Approved	gene with protein product	EDM2	MED	1p34.2	1298	ENSG00000049089	OTTHUMG00000005761	2248	Fibril associated collagens with interrupted triple helices
